Key,Ukrainian
Thesauri name,Назва тезаурусу
thesauri new group desc,тезауруси нова група спуск
thesauri new item desc,тезауруси новий елемент desc
Thesauri updated.,Оновлені тезауруси.
Thesauri values created,Створено значення тезаурусу
Thesaurus,Тезаурус
Thesaurus created successfully.,Тезаурус створено успішно.
Thesaurus name,Назва тезауруса
Thesaurus name already exists,Ім'я в тезаурусі вже існує
Thesaurus saved,Предметний покажчик збережено
This action may take some time while we add the extra language to the entire collection.,"Ця дія може зайняти деякий час, поки ми додамо додаткову мову до всієї колекції."
This area allows you to append custom Javascript to the page. This opens up a new universe of possibilities.,Ця область дозволяє додати власний JavaScript на сторінку. Це відкриє більшу сферу нових можливостей.
This chart type cannot display the current data.,Цей тип діаграми не дозволяє відображати поточні дані.
"This chart type cannot display the current data. Pick a supported type in the Chart
              tab.","Цей тип діаграми не може відображати поточні дані. Оберіть підтримуваний тип на вкладці ""Діаграма""
."
"This chart type has no extra options. Select another chart type above if you need
            legend, labels, or data filters.","Цей тип діаграми не має додаткових параметрів. Якщо вам потрібні
 легенда, мітки або фільтри даних, виберіть інший тип діаграми вище."
This content is automatically generated,Цей контент генерується автоматично
This data visualization name already exists. Enter a unique name.,Така назва візуалізації даних уже існує. Введіть унікальну назву.
"This entity has no document, you probably want to see the metadata","Цей об'єкт не має документів, ви, певно, хочете переглянути метадані"
This entity is restricted from public view.,Цей об'єкт обмежений для загальнодоступного перегляду.
This field is required,Це поле обов'язкове для заповнення
This file could not be displayed. Try refreshing the page.,Цей файл не вдалося відобразити. Спробуйте оновити сторінку.
This file could not be opened. It may be corrupted or not a valid PDF.,"Цей файл не вдалося відкрити. Можливо, він пошкоджений або не є дійсним PDF-файлом."
"This file is currently unavailable. Please contact your administrator if the issue
                  persists.","Цей файл наразі недоступний. Якщо проблема
не зникає, зверніться до адміністратора."
"This file is currently unavailable. Please contact your administrator if the issue
              persists.","Цей файл наразі недоступний. Якщо проблема
не зникне, зверніться до адміністратора."
This file type is not supported on media fields,Цей тип файлів не підтримується на медіа-полях
This group is empty,Ця група порожня
This import is waiting in queue.,Цей імпорт перебуває в черзі.
This label already exists in this template,Ця мітка вже існує в цьому шаблоні
This page does not need Markdown,Ця сторінка не потребує форматування Markdown
"This page uses HTML only (Markdown is not processed). You can embed maps, charts, entity
          lists, and other components.","На цій сторінці використовується лише HTML (Markdown не обробляється). Ви можете вбудовувати карти, діаграми,
списки об’єктів та інші компоненти."
This property can not be deleted,Цю властивість не можна видалити
This property will appear in the library cards as part of the basic info.,Цей об'єкт з'явиться в картках бібліотеки у складі основної інформації.
This property will be shown using all the width available.,Ця властивість буде відображатися за допомогою всієї доступної ширини.
This property will be shown without the label,Ця властивість буде показана без мітки
This property will be the default filter in the library for this template.,Ця властивість буде фільтром за замовчуванням у бібліотеці для цього шаблону.
"This property will be used for filtering the library results. When properties match in equal name and field type with other entity types, they will be combined for filtering.","Ця властивість буде використовуватися для фільтрації результатів бібліотеки. Якщо властивості збігаються за назвою та типом поля з іншими типами сутностей, вони будуть об'єднані для фільтрації."
This search could not be completed. Try again later.,Цей пошук не вдалося виконати. Спробуйте ще раз пізніше.
"This site uses cookies for language preferences and analytics. Session cookies are only
            set when you log in.","Цей сайт використовує файли cookie для збереження мовних налаштувань та аналітики. Сесійні файли cookie встановлюються лише
 під час входу в систему."
This table of contents was automatically created by the system.,Цей зміст був автоматично створений системою.
this template,цей шаблон
This template is in use by existing entities and cannot be deleted.,Цей шаблон використовується існуючими організаціями і не може бути видалений.
Thumbnail,Ескіз
Time,Час
Time (UTC),Час (UTC)
Timeline,Часова шкала
Timelinks,Тимчасові посилання
Timestamp,Відмітка часу
tips,поради
Title,Заголовок
To,До
"To complete the account creation process, please create a password for your account","Будь ласка, створіть пароль, щоб завершити процес створення облікового запису."
to view your authentication code and verify your identity.,щоб переглянути свій код автентифікації та підтвердити свою особу.
Today,Сьогодні
Toggle relationship details,Перемикати деталі зв’язку
Toggle timeline mode,Увімкнути/вимкнути режим часової шкали
Tools,Інструменти
total entities,всього суб'єктів господарювання
Total files,Всього файлів
total files,всього файлів
"Total files from main documents, supporting files and uploads","Загальна кількість файлів з основних документів, супровідних файлів та завантажень"
Total imports,Усього імпортів
total users,всього користувачів
Train,Потяг
Train model,Навчальна модель
Train model description,"Навчання моделей машинного навчання може зайняти від кількох хвилин до кількох годин, залежно від кількості маркованих даних і складності завдання."
Training,Навчання
Training model,Модель навчання
Training sample,Навчальна вибірка
Translate,Перекласти
Translation,Переклад
Translations,Переклади
Translations imported.,Переклади імпортовані.
Translations reset successfully,Переклади успішно скинуто
Translations saved,Переклади збережено
Try a different search or clear filters.,Спробуйте ввести інший запит або скинути фільтри.
Turn off inline translation,Вимкнути вбудований переклад
"Two categorical dimensions enable stacked bar charts (e.g. country with sex
              breakdown).","Два категоріальних виміри дають змогу створювати багатошарові гістограми (наприклад, за країною та статтю
)."
Two-Factor Authentication,Двофакторна автентифікація
Two-factor authentication enabled,Увімкнено двофакторну автентифікацію
Two-factor authentication failed.,Двофакторна автентифікація не пройшла.
Two-factor authentication secret,Секрет двофакторної автентифікації
Two-factor verification failed,Двохетапна перевірка не вдалася.
Two-step verification,Двохетапна перевірка
Two-step verification token required,Потрібен токен з двоетапною верифікацією
Type,Тип
U,U
"Unable to save, failed response","Не вдалося врятувати, не вдалося відповісти"
Unauthorized,Несанкціонований
Unexpected error,Неочікувана помилка
Uninstall,Видалити
Uninstall language,Видалити мову
Uninstalling language,Видалення мови
Unknown entity,Невідомий об’єкт
Unknown template,Невідомий шаблон
Unlink,Роз'єднати зв'язок.
Unlock account,Розблокувати обліковий запис
Unsaved changes,Незбережені зміни
Unsupported OCR language,Непідтримувана мова оптичного розпізнавання символів
Untitled,Без назви
Untranslated Terms,Неперекладені терміни
Update,Оновити
UPDATE,Оновити
Update from collection,Оновити з колекції
Update success,Успіх оновлення
Updated,Оновлено
Updated file,Оновлений файл
Updated multiple entities,Оновлено кілька сутностей
Updated permissions on entity,Оновлені дозволи на сутність
Updated relationships,Оновлені відносини
Updated settings,Оновлені налаштування
Updated translations,Оновлені переклади
Updated user,Оновлений користувач
Updating template properties across,Оновлення властивостей шаблону в усіх
Updating…,Оновлення…
Upload and select file,Завантажити й вибрати файл
Upload from computer,Завантажити з комп'ютера
Upload image,Завантажити зображення
Upload PDF,Завантажити PDF
Upload PDF(s) to create,"Завантажити PDF, щоб створити"
Uploaded attachment,Завантажено вкладення
Uploaded custom file,Завантажено користувацький файл
Uploaded document,Завантажений документ
Uploaded file,Завантажений файл
Uploading,Виконується завантаження
Uploading ...,Завантаження...
Uploads,Завантаження
URL,URL
Use,Використати
Use as filter,Використовувати як фільтр
Use for training,Використання для навчання
"Use this iframe on external sites. Change the locale query parameter in the URL if
                needed.","Використовуйте цей iframe на зовнішніх сайтах. За потреби змініть параметр запиту ""locale"" в URL-адресі,
 якщо це необхідно."
Use URL,Використовувати URL-адресу
Used in templates and {n} refs — cannot delete,Використовується в шаблонах та {n} посиланнях — видалити не можна
Used in templates — cannot delete,Використовується в шаблонах — видалити не можна
Used in {n} refs — cannot delete,Використовується в {n} посиланнях — видалити не можна
User,Користувач
User Action,Дія користувача
User Role,Роль користувача
User updated,Користувача оновлено
Username,Ім’я користувача
Username is required,Потрібне ім'я користувача
Username is too long,Ім'я користувача занадто довге
Username is too short,Ім'я користувача занадто коротке
"Username, email or group","Ім'я користувача, електронна адреса або група"
Usernames cannot have spaces,В іменах користувачів не може бути пробілів
Users,Користувачі
Users & Groups,Користувачі та групи
Using Authenticator,Використання автентифікатора
Using URLs,Використання URL-адрес
Uwazi,Uwazi
Uwazi Docs,Uwazi Docs
Uwazi is developed by,Uwazi розроблений
Uwazi UI,Інтерфейс користувача Uwazi
Validating,Перевірка
Validating file structure and headers.,Перевірка структури файлу та заголовків.
Value,Значення
Value cannot be transformed to the correct type,Значення не може бути перетворено до правильного типу
values,значення
"values are staged, not saved","значення на розгляді, не збережені"
Verify,Верифікувати
Verifying...,Верифікування...
via,через
View,Переглянути
view,переглянути
View entities,Перегляд сутностей
View entity,Переглянути сутність
View in library,Переглянути в бібліотеці
View page,Переглянути сторінку
Visibility,Видимість
Visualization data updated from your collection.,Оновлено дані візуалізації з вашої колекції.
WARNING,ПОПЕРЕДЖЕННЯ
Warning: you are editing multiple entities. Fields marked with a,"Попередження: ви редагуєте декілька об'єктів. Поля, позначені"
We can't find the page you're looking for.,"Ми не можемо знайти сторінку, яку ви шукаєте."
Welcome to Uwazi,Ласкаво просимо до Uwazi
"Well, this is awkward...","Що ж, це незручно..."
"When enabled, visitors must accept or reject non-essential cookies before they are set.
    Analytics and language preference cookies are blocked until accepted.","Якщо ця функція увімкнена, відвідувачі повинні прийняти або відхилити необов’язкові файли cookie перед їхнім збереженням.
    Файли cookie для аналітики та вибору мови блокуються до тих пір, поки їх не буде прийнято."
Whitelisted templates,Шаблони білого списку
wildcard,символ-замінник
wildcard (many chars),символ-замінник (кілька символів)
wildcard (one char),символ-замінник (один символ)
"Will attempt to fill the container, using its entire width. In cards, cropping is likely to occur.","Намагатиметься заповнити контейнер, використовуючи всю його ширину. У картках, ймовірно, відбудеться обрізання."
will be updated with the same value.,оновлюватиметься з цим же значенням
Will show the entire media inside the container.,Покаже всі носії всередині контейнера.
with,з
With great power comes great responsibility!,З великою силою приходить велика відповідальність!
wom?n,жінк?
x,x
x less,менше
x more,більше
Year,Рік
Yes,Так.
You can add one or many items in this form.,Ви можете додати один або декілька елементів у цій формі.
You can also enter this secret key into your Authenticator app.,Ви також можете ввести цей секретний ключ у вашому додатку Authenticator.
You can create metadata templates in,Ви можете створювати шаблони метаданих у
"You can embed advanced components like maps, charts and entity lists in your page.","Ви можете вбудовувати на свою сторінку складні компоненти, такі як карти, діаграми та списки об’єктів."
You do not have write permission on all entities,У вас немає прав на запис для всіх об’єктів
You have unsaved changes. Discard them? This action cannot be undone.,У вас є незбережені зміни. Видалити їх? Цю дію неможливо скасувати.
You have unsaved changes. Do you want to continue?,У вас є незбережені зміни. Ви хочете продовжити?
You should activate this feature for enhanced account security,Ви маєте активувати цю функцію для посилення безпеки облікового запису
You should activate this feature for enhanced account security.,Вам слід активувати цю функцію для посилення безпеки акаунта.
You won't be able to save an entity if this property is empty.,"Ви не зможете зберегти сутність, якщо ця властивість порожня."
You're all caught up,Тут усе переглянуто
Your account's security is enhanced with two-factor authentication.,Безпека вашого облікового запису посилюється завдяки двофакторній автентифікації.
Z → A,Я → А
Zoom in,Збільшити масштаб
Zoom in library view,Збільшити масштаб перегляду бібліотеки
Zoom out,Зменшити масштаб
Zoom out library view,Зменшити масштаб перегляду бібліотеки
