Key,Polish
total entities,obiektów łącznie
Total files,Pliki ogółem
total files,plików ogółem
"Total files from main documents, supporting files and uploads","Całkowita liczba plików z dokumentów głównych, plików pomocniczych i przesłanych"
Total imports,Łączna liczba importów
total users,użytkowników łącznie
Train,Trenuj
Train model,Trenuj model
Train model description,"Trenowanie modeli uczenia maszynowego może trwać od kilku minut do kilku godzin, w zależności od ilości oznaczonych danych i trudności zadania."
Training,Trenowanie
Training model,Trenowanie modelu
Training sample,Próbka treningowa
Translate,Tłumacz
Translation,Tłumaczenie
Translations,Tłumaczenia
Translations imported.,Tłumaczenia zaimportowane.
Translations reset successfully,Tłumaczenia zresetowane pomyślnie
Translations saved,Tłumaczenia zapisane
Turn off inline translation,Wyłącz tłumaczenie w tekście
"Two categorical dimensions enable stacked bar charts (e.g. country with sex
              breakdown).","Two categorical dimensions enable stacked bar charts (e.g. country with sex
              breakdown)."
Two-Factor Authentication,Uwierzytelnianie dwuskładnikowe
Two-factor authentication enabled,Uwierzytelnianie dwuskładnikowe włączone
Two-factor authentication failed.,Uwierzytelnianie dwuskładnikowe nie powiodło się.
Two-factor authentication secret,Tajny klucz uwierzytelniania dwuskładnikowego
Two-factor verification failed,Weryfikacja dwuskładnikowa nie powiodła się
Two-step verification,Weryfikacja dwuetapowa
Two-step verification token required,Wymagany token weryfikacji dwuetapowej
Type,Typ
U,U
"Unable to save, failed response","Nie udało się zapisać, błędna odpowiedź"
Unauthorized,Brak autoryzacji
Unexpected error,Nieoczekiwany błąd
Uninstall,Odinstaluj
Uninstall language,Odinstaluj język
Uninstalling language,Odinstalowywanie języka
Unknown entity,Unknown entity
Unknown template,Unknown template
Unlink,Odłącz
Unlock account,Odblokuj konto
Unsaved changes,Unsaved changes
Unsupported OCR language,Nieobsługiwany język OCR
Untitled,Untitled
Untranslated Terms,Nieprzetłumaczone terminy
Update,Aktualizuj
UPDATE,AKTUALIZUJ
Update from collection,Update from collection
Update success,Aktualizacja udana
Updated,Zaktualizowano
Updated file,Zaktualizowano plik
Updated multiple entities,Zaktualizowano wiele obiektów
Updated permissions on entity,Zaktualizowano uprawnienia obiektu
Updated relationships,Zaktualizowano powiązania
Updated settings,Zaktualizowano ustawienia
Updated translations,Zaktualizowano tłumaczenia
Updated user,Zaktualizowano użytkownika
Updating template properties across,Aktualizowanie właściwości szablonu we wszystkich
Updating…,Updating…
Upload and select file,Prześlij i wybierz plik
Upload from computer,Prześlij z komputera
Upload image,Prześlij obraz
Upload PDF,Prześlij PDF
Upload PDF(s) to create,"Prześlij PDF, aby utworzyć"
Uploaded attachment,Przesłano załącznik
Uploaded custom file,Przesłano plik niestandardowy
Uploaded document,Przesłano dokument
Uploaded file,Przesłano plik
Uploading,Przesyłanie
Uploading ...,Przesyłanie ...
Uploads,Przesłane
URL,URL
Use,Użyj
Use as filter,Użyj jako filtr
Use for training,Użyj do trenowania
"Use this iframe on external sites. Change the locale query parameter in the URL if
                needed.","Use this iframe on external sites. Change the locale query parameter in the URL if
                needed."
Use URL,Use URL
User,Użytkownik
User Action,Akcja użytkownika
User Role,Rola użytkownika
User updated,Zaktualizowano użytkownika
Username,Nazwa użytkownika
Username is required,Nazwa użytkownika jest wymagana
Username is too long,Nazwa użytkownika jest za długa
Username is too short,Nazwa użytkownika jest za krótka
"Username, email or group","Username, email or group"
Usernames cannot have spaces,Nazwy użytkowników nie mogą zawierać spacji
Users,Użytkownicy
Users & Groups,Użytkownicy i grupy
Using Authenticator,Używanie Authenticatora
Using URLs,Używanie URL-i
Uwazi,Uwazi
Uwazi Docs,Uwazi Docs
Uwazi is developed by,Uwazi jest rozwijane przez
Uwazi UI,Interfejs Uwazi
Validating,Walidacja
Validating file structure and headers.,Walidacja struktury pliku i nagłówków.
Value,Wartość
Value cannot be transformed to the correct type,Wartości nie można przekształcić do prawidłowego typu
values,wartości
Verify,Zweryfikuj
Verifying...,Weryfikacja...
via,via
View,Wyświetl
view,wyświetl
View entities,Wyświetl obiekty
View entity,Wyświetl obiekt
View in library,Wyświetl w bibliotece
View page,Wyświetl stronę
Visibility,Visibility
Visualization data updated from your collection.,Visualization data updated from your collection.
WARNING,OSTRZEŻENIE
Warning: you are editing multiple entities. Fields marked with a,Ostrzeżenie: edytujesz wiele obiektów. Pola oznaczone
We can't find the page you're looking for.,"Nie możemy znaleźć strony, której szukasz."
Welcome to Uwazi,Witamy w Uwazi
"Well, this is awkward...","Cóż, to niezręczne..."
Whitelisted templates,Dozwolone szablony
wildcard,wildcard
wildcard (many chars),wildcard (many chars)
wildcard (one char),wildcard (one char)
"Will attempt to fill the container, using its entire width. In cards, cropping is likely to occur.","Spróbuje wypełnić kontener, używając całej jego szerokości. Na kartach prawdopodobnie wystąpi przycinanie."
will be updated with the same value.,zostaną zaktualizowane tą samą wartością.
Will show the entire media inside the container.,Wyświetli całe medium wewnątrz kontenera.
with,z
With great power comes great responsibility!,Z wielką mocą wiąże się wielka odpowiedzialność!
wom?n,wom?n
x,x
x less,mniej
x more,więcej
Year,Rok
Yes,Tak
You can add one or many items in this form.,Możesz dodać jeden lub wiele elementów w tym formularzu.
You can also enter this secret key into your Authenticator app.,Możesz również wprowadzić ten tajny klucz do aplikacji Authenticator.
You can create metadata templates in,Możesz tworzyć szablony metadanych w
"You can embed advanced components like maps, charts and entity lists in your page.","You can embed advanced components like maps, charts and entity lists in your page."
"You can start by selecting text in the document and clicking the ""Add to ToC""
                  button.","Możesz zacząć od zaznaczenia tekstu w dokumencie i kliknięcia przycisku ""Dodaj do spisu treści""."
You do not have write permission on all entities,Nie masz uprawnień do zapisu dla wszystkich obiektów
You have unsaved changes. Discard them and leave this page? This action cannot be undone.,You have unsaved changes. Discard them and leave this page? This action cannot be undone.
"You have unsaved changes. Discard them and switch language? This action cannot be
              undone.","You have unsaved changes. Discard them and switch language? This action cannot be
              undone."
You have unsaved changes. Do you want to continue?,Masz niezapisane zmiany. Czy chcesz kontynuować?
You should activate this feature for enhanced account security,Powinieneś aktywować tę funkcję w celu zwiększenia bezpieczeństwa konta
You should activate this feature for enhanced account security.,Powinieneś aktywować tę funkcję w celu zwiększenia bezpieczeństwa konta.
You won't be able to save an entity if this property is empty.,"Nie będziesz mógł zapisać obiektu, jeśli ta właściwość jest pusta."
You're all caught up,You're all caught up
Your account's security is enhanced with two-factor authentication.,Bezpieczeństwo twojego konta jest wzmocnione uwierzytelnianiem dwuskładnikowym.
Z → A,Z → A
Zoom in,Powiększ
Zoom in library view,Powiększ widok biblioteki
Zoom out,Pomniejsz
Zoom out library view,Pomniejsz widok biblioteki
