Key,Greek
or drag and drop here,ή σύρετε και αποθέστε εδώ
or drag and drop PDF files here,or drag and drop PDF files here
or drop your files here.,ή αποθέστε τα αρχεία σας εδώ.
Or paste a URL,Ή επικολλήστε μια διεύθυνση URL
Order,Παραγγελία
Other,Άλλα
other,άλλα
Other users will be affected by this action!,Αυτή η ενέργεια θα επηρεάσει και άλλους χρήστες.
Others,Άλλοι
Outgoing,Εξερχόμενο
p.,σ.
Page,Σελίδα
Page not found,Η σελίδα δεν βρέθηκε
Page published successfully.,Η σελίδα δημοσιεύθηκε με επιτυχία.
Pages,Σελίδες
Paragrap number extraction property (numeric),Ιδιότητα εξαγωγής αριθμού παραγράφου (αριθμός)
Paragraph,Παράγραφος
Paragraph Extraction,Εξαγωγή παραγράφων
Paragraph Extractor added,Προστέθηκε εξαγωγέας παραγράφων
Paragraph text extraction property (rich text),Ιδιότητα εξαγωγής κειμένου παραγράφου (εμπλουτισμένο κείμενο)
Paragraphs,Παράγραφοι
Paragraphs deleted,Οι παράγραφοι διαγράφηκαν
parties,μέρη
Password,Κωδικός πρόσβασης
Password + 2fa,Κωδικός πρόσβασης + 2fa
Password changed success,Ο κωδικός πρόσβασης άλλαξε επιτυχώς
Password is too long,Ο κωδικός πρόσβασης είναι πολύ μεγάλος
Passwords do not match,Οι κωδικοί πρόσβασης δεν ταιριάζουν
Paste an audio or video URL to use it as this property without uploading a file. Press Enter to apply.,"Επικολλήστε μια διεύθυνση URL αρχείου ήχου ή βίντεο για να τη χρησιμοποιήσετε ως αυτή την ιδιότητα, χωρίς να ανεβάσετε αρχείο. Πατήστε Enter για να εφαρμόσετε."
Paste an image URL to use it as this property without uploading a file. Press Enter to apply.,Επικολλήστε τη διεύθυνση URL μιας εικόνας για να τη χρησιμοποιήσετε ως αυτή την ιδιότητα χωρίς να ανεβάσετε αρχείο. Πατήστε Enter για να εφαρμόσετε.
Paste this tag in a page HTML. The chart uses the page language.,Επικολλήστε αυτήν την ετικέτα στον κώδικα HTML μιας σελίδας. Το γράφημα χρησιμοποιεί τη γλώσσα της σελίδας.
Paste URL,Επικόλληση URL
Paste URL here,Επικολλήστε το URL εδώ
PDF,PDF
Pending,Σε εκκρεμότητα
People and groups,Άτομα και ομάδες
per page,ανά σελίδα
Permission,Άδεια
Permission level,Επίπεδο δικαιωμάτων
Permission on entities explicitly shared with the user,Άδεια σε οντότητες που έχουν κοινοποιηθεί ρητά στον χρήστη
Permissions,Άδειες
Permissions updated,Τα δικαιώματα ενημερώθηκαν.
Pick a color,Επιλέξτε ένα χρώμα
Pick another,Επιλέξτε άλλη
Plain text,Απλό κείμενο
Please contact an admin for details.,Επικοινωνήστε με έναν διαχειριστή για λεπτομέρειες.
Please type in,Πληκτρολογήστε
Please type in letters and numbers from the image to start the export.,Πληκτρολογήστε γράμματα και αριθμούς από την εικόνα για να ξεκινήσει η εξαγωγή.
Pre-filled from your selection. Edit as needed.,Έχει συμπληρωθεί εκ των προτέρων με βάση την επιλογή σας. Επεξεργαστείτε το όπως κρίνετε απαραίτητο.
Preflight scan completed.,Ολοκληρώθηκε ο προκαταρκτικός έλεγχος.
Preparing required relationships.,Προετοιμασία των απαιτούμενων σχέσεων.
Preparing required thesauri values.,Προετοιμασία των απαιτούμενων τιμών του θησαυρού όρων.
Preserve,Preserve
Preserve Extension,Preserve επέκταση
Preserve Setup Description,"Εάν γνωρίζετε το URL και το TOKEN του Uwazi σας, κάντε κλικ στον παρακάτω σύνδεσμο και συμπληρώστε τις απαιτούμενες πληροφορίες."
Press enter to add,Πατήστε Enter για προσθήκη
Preview,Προεπισκόπηση
Preview updates automatically (300ms debounce),Η προεπισκόπηση ενημερώνεται αυτόματα (καθυστέρηση 300 ms).
Preview updates when the JSON is valid.,Η προεπισκόπηση ενημερώνεται όταν το JSON είναι έγκυρο.
Previous,Προηγούμενο
Primary,Κύριο
Primary button,Κύριο κουμπί
Primary document,Κύριο έγγραφο
Primary Documents,Κύρια έγγραφα
Primary documents,Κύρια έγγραφα
Priority sorting,Ταξινόμηση προτεραιότητας
Priority sorting description,"Οι ιδιότητες που έχουν επισημανθεί ως ταξινόμηση προτεραιότητας θα χρησιμοποιούνται ως προεπιλεγμένα κριτήρια ταξινόμησης. Εάν περισσότερες από μία ιδιότητες έχουν επισημανθεί ως ταξινόμηση προτεραιότητας, το σύστημα θα προσπαθήσει να επιλέξει την καταλληλότερη. Κατά την εμφάνιση μεικτών τύπων προτύπων, το σύστημα θα επιλέξει τον καλύτερο συνδυασμό ταξινόμησης προτεραιότητας."
Private,Ιδιωτικό
Private entities description,Προσοχή: οι επιλεγμένες οντότητες θα είναι **ιδιωτικές**. Μόνο οι εξουσιοδοτημένοι χρήστες θα μπορούν να τις δουν.
Process,Επεξεργασία
Process extractor,Επεξεργασία εξαγωγέα
Process selected,Επεξεργασία επιλεγμένων
Processed,Επεξεργασμένο
Processed rows,Επεξεργασμένες σειρές
Processing,Επεξεργασία σε εξέλιξη
Progress,Πρόοδος
Properties,Ιδιότητες
Properties from other templates in the collection using the same label,Ιδιότητες από άλλα πρότυπα της συλλογής που χρησιμοποιούν την ίδια ετικέτα
Properties from other templates in the collection using the same label.,Ιδιότητες από άλλα πρότυπα της συλλογής που χρησιμοποιούν την ίδια ετικέτα.
"Properties marked as priority sorting will be used as default sorting criteria. If more than one property is marked as priority sorting the system will try to pick-up the best fit. When listing mixed template types, the system will pick-up the best combined priority sorting.","Οι ιδιότητες που έχουν επισημανθεί ως ταξινόμηση προτεραιότητας θα χρησιμοποιούνται ως προεπιλεγμένα κριτήρια ταξινόμησης. Εάν περισσότερες από μία ιδιότητες έχουν επισημανθεί ως ταξινόμηση προτεραιότητας, το σύστημα θα προσπαθήσει να επιλέξει την καταλληλότερη. Κατά την εμφάνιση μεικτών τύπων προτύπων, το σύστημα θα επιλέξει τον καλύτερο συνδυασμό ταξινόμησης προτεραιότητας."
Property,Ιδιότητα
Property as filter description,"Αυτή η ιδιότητα θα χρησιμοποιηθεί για το φιλτράρισμα των αποτελεσμάτων της βιβλιοθήκης. Όταν οι ιδιότητες ταιριάζουν σε ό,τι αφορά το όνομα και τον τύπο πεδίου με άλλους τύπους οντοτήτων, θα συνδυαστούν για το φιλτράρισμα."
property date,Ημερομηνία
property daterange,Εύρος ημερομηνιών
property generatedid,Παραγόμενο aναγνωριστικό
property geolocation,Γεωγραφική θέση
property image,Εικόνα
property link,Σύνδεσμος
property markdown,Εμπλουτισμένο κείμενο
property media,Πολυμέσα
property multidate,Πολλαπλή ημερομηνία
property multidaterange,Πολλαπλό εύρος ημερομηνιών
property multiselect,Πολλαπλή επιλογή
property numeric,Αριθμός
property preview,Προεπισκόπηση
property relationship,Σχέση
property select,Επιλογή
property text,Κείμενο
Property type,Τύπος ιδιότητας
Protection,Προστασία
ProTip!,Συμβουλή:
"Provide chart-ready data as JSON. Each series needs id, label, and a points array with
              label and value per row. Optional key on points helps stable colors.","Παρέχετε δεδομένα έτοιμα για γράφημα σε μορφή JSON. Κάθε σειρά πρέπει να περιλαμβάνει αναγνωριστικό (id), ετικέτα (label) και έναν πίνακα σημείων (points) με
ετικέτα και τιμή σε κάθε σειρά. Ένα προαιρετικό κλειδί (key) στα σημεία βοηθά στη σταθεροποίηση των χρωμάτων."
Public entities description,Προσοχή: οι επιλεγμένες οντότητες θα είναι **δημόσιες**. Οποιοσδήποτε θα μπορεί να τις δει.
Public form settings description,Εδώ μπορείτε να διαμορφώσετε τον προορισμό της δημόσιας φόρμας και τα πρότυπα που περιλαμβάνονται στη λίστα επιτρεπόμενων προτύπων.
Public Form submit URL,URL δημόσιας φόρμας υποβολής
Public form URL description,"Εάν έχετε διαμορφώσει μια δημόσια φόρμα και θέλετε μια διαφορετική συλλογή Uwazi να λάβει τις υποβολές, εισαγάγετε το URL της εδώ."
Public form whitelist description,"Εάν επιθυμείτε να συμπεριλάβετε δημόσιες φόρμες στις σελίδες σας, πρέπει να προσθέσετε στη λίστα επιτρεπόμενων προτύπων τα αναγνωριστικά προτύπων για τα οποία αναμένεται η χρήση δημόσιων φορμών."
Public instance,Δημόσια εγκατάσταση
Publish,Δημοσίευση
Publish release,Δημοσίευση έκδοσης
Published,Δημοσιευμένα
Published and unpublished entities are counted.,Λαμβάνονται υπόψη τόσο οι δημοσιευμένες όσο και οι αδημοσίευτες οντότητες.
QR Code,Κωδικός QR
Query,Ερώτημα
Queued,Σε αναμονή
RAW,RAW
"Re-runs the query against your current collection. Use this after importing
                        or editing entities—not when changing chart settings (save handles that).","Εκτελεί εκ νέου την ερώτηση στην τρέχουσα συλλογή σας. Χρησιμοποιήστε αυτή τη λειτουργία μετά την εισαγωγή
 ή την επεξεργασία οντοτήτων — όχι όταν αλλάζετε τις ρυθμίσεις του γραφήματος (αυτό το χειρίζεται η αποθήκευση)."
Re-uploaded document,Επαναφορτωμένο έγγραφο
Ready,Έτοιμο
Receiving email,Λήψη email
Receiving email description,"Εάν διαθέτετε φόρμα επικοινωνίας, αυτή είναι η διεύθυνση email στην οποία θα λαμβάνονται οι υποβολές της φόρμας."
Recommended,Συνιστάται
Reference,Αναφορά
References,Αναφορές
references,Αναφορές
Refresh,Ανανέωση
"Refresh manually when you have added data and cannot wait for the next
                        scheduled run.","Κάντε ανανέωση χειροκίνητα όταν έχετε προσθέσει δεδομένα και δεν μπορείτε να περιμένετε την επόμενη
 προγραμματισμένη εκτέλεση."
Refresh mode,Λειτουργία ανανέωσης
Reject,Απόρριψη
Reject all,Απόρριψη όλων
Related entities created,Δημιουργία συνδεδεμένων οντοτήτων
Relation type,Τύπος σχέσης
Relationship,Σχέση
Relationship created,Δημιουργήθηκε σχέση
Relationship Type,Τύπος σχέσης
Relationship type,Τύπος σχέσης
Relationship type created successfully.,Ο τύπος σχέσης δημιουργήθηκε με επιτυχία.
Relationship type name,Όνομα τύπου σχέσης
Relationship type name already exists,Το όνομα τύπου σχέσης υπάρχει ήδη
Relationship types,Τύποι σχέσεων
relationships,σχέσεις
Relationships,Σχέσεις
Relationships saved,Οι σχέσεις αποθηκεύτηκαν
relationships? This action cannot be undone.,σχέσεις; Αυτή η ενέργεια δεν μπορεί να αναιρεθεί.
RelationType saved,Ο τύπος σχέσης αποθηκεύτηκε
Release message,Ανακοίνωση έκδοσης
Relevance,Συνάφεια
remaining,υπόλοιπο
remaining files,υπόλοιπα αρχεία
Remote Server Unreachable,Απομακρυσμένος διακομιστής μη προσβάσιμος
Remove,Αφαίρεση
Remove from connection,Αποσύνδεση
Remove from training set,Αφαίρεση από το σύνολο εκπαίδευσης
remove icon,αφαιρέση εικονίδιου
Remove icon,Κατάργηση εικονιδίου
Removed language,Αφαίρεση γλώσσας
Rename,Μετονομασία
Renamed attachment,Το συνημμένο αρχείο μετονομάστηκε
Repeat Password,Επανάληψη κωδικού πρόσβασης
Request id #,Αίτηση id #
Request token,Αίτηση token
Required,Απαιτούμενο
Required property,Απαιτούμενη ιδιότητα
Required relationships were prepared.,Προετοιμάστηκαν οι απαιτούμενες σχέσεις.
Required thesauri values were prepared.,Προετοιμάστηκαν οι απαιτούμενες τιμές του θησαυρού όρων.
Reset,Επαναφορά
Reset 2FA,Επαναφορά 2FA
Reset default translation,Επαναφορά προεπιλεγμένης μετάφρασης
Reset language,Επαναφορά γλώσσας
Reset Password,Επαναφορά κωδικού πρόσβασης
Reset passwords,Επαναφορά κωδικών πρόσβασης
Resize panels,Αλλαγή μεγέθους πλαισίων
Restore,Επαναφορά
Restore previous version,Επαναφορά προηγούμενης έκδοσης
Restricted,Περιορισμένα
Retryable,Μπορεί να επαναληφθεί
Retrying,Επανάληψη προσπάθειας
Return to login,Επιστροφή στη σύνδεση
Review,Προεπισκόπηση
Reviewed,Προεπισκόπηθηκε
Role,Ρόλος
Room around every row,Περισσότερος χώρος γύρω από κάθε σειρά
Route,Διαδρομή
Row,Σειρά
Row density,Πυκνότητα σειρών
Rows failed,Αποτυχία σειρών
Rows processed,Επεξεργασμένες σειρές
Sample,Δείγμα
Satellite,Δορυφόρος
Save,Αποθήκευση
Save & Preview,Αποθήκευση & προεπισκόπηση
Save changes,Αποθήκευση αλλαγών
Save password,Αποθήκευση κωδικού πρόσβασης
Save the visualization before refreshing.,Αποθηκεύστε την απεικόνιση πριν κάνετε ανανέωση.
Save the visualization to get embed code.,Αποθηκεύστε την απεικόνιση για να λάβετε τον κώδικα ενσωμάτωσης.
Save your work to make change permanent,Αποθηκεύστε την εργασία σας για να κάνετε την αλλαγή μόνιμη
Saved successfully.,Αποθηκεύτηκε με επιτυχία.
Saved with warnings,Αποθηκεύτηκε με προειδοποιήσεις.
Saving,Αποθήκευση
Saving...,Αποθήκευση...
Scanning,Σάρωση
Scanning rows before import.,Σάρωση σειρών πριν από την εισαγωγή.
Schedule,Πρόγραμμα
Schedules run in UTC (Coordinated Universal Time).,Τα προγράμματα ακολουθούν το UTC (Συντονισμένη Παγκόσμια Ώρα).
Search,Αναζήτηση
"Search  •  AND, OR, NOT, ""exact"", wild*","Αναζήτηση  •  AND, OR, NOT, «ακριβής», μπαλαντέρ*"
Search by title,Αναζήτηση κατά τίτλο
Search entities...,Αναζήτηση οντοτήτων...
Search entities…,Αναζήτηση οντοτήτων…
Search item,Αναζήτηση στοιχείου
Search related entities or documents,Αναζήτηση σχετικών οντοτήτων ή εγγράφων
Search relationships,Αναζήτηση σχέσεων
Search relevance,Συνάφεια αναζήτησης
Search text,Aναζήτηση κείμενου
Search text description,Πληκτρολογήστε κάτι στο πλαίσαναζήτησης για να λάβετε αποτελέσματα.
Search this document,Αναζήτηση σε αυτό το έγγραφο
Search Tips,Συμβουλές αναζήτησης
Search tips,Συμβουλές αναζήτησης
Search Tips: boolean,"AND, OR και NOT για αναζητήσεις boolean. Δηλαδή ""κατάσταση AND γυναίκες NOT Νικαράγουα"" θα αντιστοιχίσει οτιδήποτε περιέχει και τις δύο λέξεις κατάσταση και γυναίκες, και κατ' ανάγκη δεν περιέχει τη λέξη Νικαράγουα."
Search Tips: exact term,"Ακριβής αντιστοιχία όρου περικλείοντας τη φράση αναζήτησης με εισαγωγικά. Δηλαδή ""Κόστα Ρίκα"" θα δώσει διαφορετικά αποτελέσματα σε σύγκριση με Κόστα Ρίκα χωρίς εισαγωγικά."
Search Tips: one char wildcard,"? για μπαλαντέρ ενός χαρακτήρα. Δηλαδή: ""198?"" θα αντιστοιχίσει από το 1980 έως το 1989 και επίσης 198a, 198b, κ.λπ."
Search Tips: proximity,"~ για αναζητήσεις εγγύτητας. Δηλαδή: ""η κατάσταση""~5 θα βρει οτιδήποτε έχει ""η"" και ""κατάσταση"" σε απόσταση 5 λέξεων, όπως ""η διαδικαστική κατάσταση"", ""η συγκεκριμένη νομική κατάσταση""."
Search Tips: wildcard,"Χρησιμοποιήστε * για αναζήτηση με μπαλαντέρ. Δηλαδή: ""δικαιο*"" θα αντιστοιχίσει λέξεις όπως δικαιοδοσία, δικαιοδοτικό, δικαιολογητικό, δικαιολογία, κ.λπ."
Search title & metadata,Αναζήτηση τίτλου και μεταδεδομένων
Searching...,Αναζήτηση...
Secondary button,Δευτερεύον κουμπί
Secret keys,Μυστικά κλειδιά
Security,Ασφάλεια
Select,Επιλογή
Select & Search,Επιλογή & Αναζήτηση
"Select a dimension to see supported chart types, or use Metric for a total count.",Επιλέξτε μια διάσταση για να δείτε τους υποστηριζόμενους τύπους γραφημάτων ή χρησιμοποιήστε το «Μετρικό» για τον συνολικό αριθμό.
Select a document to connect to a specific paragraph,Επιλέξτε ένα έγγραφο για να το συνδέσετε με μια συγκεκριμένη παράγραφο
Select a file,Επιλέξτε ένα αρχείο
Select all,Επιλογή όλων
Select an existing image,Επιλέξτε μια υπάρχουσα εικόνα
Select favicon image,Επιλογή εικόνας favicon
Select files on your device,Επιλογή αρχείων στη συσκευή σας
Select from computer,Επιλογή από τον υπολογιστή
Select image,Επιλογή εικόνας
Select media,Επιλογή μέσων
Select relationship,Επιλογή σχέσης
Select relationship type,Επιλογή τύπου σχέσης
Select site logo image,Επιλογή εικόνας λογότυπου ιστότοπου
Select target document,Επιλογή εγγράφου-στόχου
Select target entity,Επιλογή οντότητας-στόχου
Select target paragraph,Επιλογή παράγραφου-στόχου
Select text in target document,Επιλογή κειμένου στο έγγραφο προορισμού
select text or a value,επιλέξτε κείμενο ή μια τιμή
Select the template to store the extracted paragraphs.,Επιλέξτε το πρότυπο για την αποθήκευση των εξαγόμενων παραγράφων
Select the template with the source documents.,Επιλέξτε το πρότυπο με τα έγγραφα προέλευσης.
Select...,Επιλέξτε...
Selected,Επιλεγμένα
selected,επιλεγμένα
selected of,επιλεγμένα από
Selected or suggested,Επιλεγμένα ή προτεινόμενα
Selected templates,Επιλεγμένα πρότυπα
Send,Αποστολή
Send recovery email,Αποστολή email ανάκτησης
Sending email,Αποστολή email
Sending email description,"Αυτή είναι η διεύθυνση email που θα εμφανίζεται ως αποστολέας όταν αποστέλλεται ένα μήνυμα email από την Uwazi συλλογή σας σε εγγεγραμμένους χρήστες. Η προεπιλεγμένη διεύθυνση είναι *uwazi@uwazi.io*. Μπορείτε να ορίσετε μια προσαρμοσμένη διεύθυνση, εισάγοντας εδώ τη διεύθυνση email που επιθυμείτε."
Sending labeled data,Αποστολή επισημασμένων δεδομένων
Series,Σειρά
Services,Υπηρεσίες
Set as default,Ορισμός ως προεπιλογή
Set default language,Ορισμός προεπιλεγμένης γλώσσας
Set default template,Ορισμός προεπιλεγμένου προτύπου
Set the default starting point for your geolocation properties.,Ορίστε το προεπιλεγμένο σημείο εκκίνησης για τις ιδιότητες γεωγραφικής θέσης.
Settings,Ρυθμίσεις
settings,ρυθμίσεις
Settings navigation active background,Πλοήγηση στις ρυθμίσεις – ενεργό φόντο
Settings sidebar background,Φόντο της πλευρικής γραμμής ρυθμίσεων
Settings updated,Οι ρυθμίσεις ενημερώθηκαν
Share,Κοινοποίηση
Share edit access with other users,Κοινοποίηση πρόσβασης επεξεργασίας με άλλους χρήστες
Share entities with the public,Κοινοποίηση οντοτήτων στο κοινό
Share with people and groups,Κοινοποίηση σε άτομα και ομάδες
Shared as editor,Κοινοποιήθηκε ως επιμελητής
Shared as viewer,Κοινοποιήθηκε ως θεατής
Show actions,Εμφάνιση ενεργειών
Show cookie policy,Εμφάνιση πολιτικής cookie
Show details,Εμφάνιση λεπτομερειών
Show filters,Εμφάνιση φίλτρων
Show in cards,Εμφάνιση σε κάρτες
Show information,Εμφάνιση πληροφοριών
Show less,Εμφάνιση λιγότερων
Show more,Εμφάνιση περισσότερων
Show remaining in panel,Εμφάνιση του υπολοίπου στο πλαίσιο
Show toolbar,Εμφάνιση γραμμής εργαλείων
Showing,Εμφάνιση
Showing the top,Εμφάνιση των κορυφαίων
shown of,εμφανιζόμενα από
Sign in,Είσοδος
Simple mode,Απλή λειτουργία
Single relationships must have a hub,Οι μεμονωμένες σχέσεις πρέπει να έχουν έναν κόμβο
Site logo description,"Το λογότυπο εμφανίζεται στη γραμμή επάνω δίπλα στο όνομα της συλλογής σας (περίπου 200×32 εικονοστοιχεία).

1. Μεταφορτώστε εικόνες στις ""Προσαρμοσμένες μεταφορτώσεις"" αν χρειάζεται.
2. Κάντε κλικ στο ""Επιλογή εικόνας λογότυπου ιστότοπου"" και επιλέξτε αρχείο· εμφανίζονται μόνο εικόνες από τις Προσαρμοσμένες μεταφορτώσεις."
Site logo no images hint,"Δεν υπάρχουν ακόμα αρχεία εικόνας στις Προσαρμοσμένες μεταφορτώσεις. Προσθέστε πρώτα εικόνες PNG, SVG ή JPEG εκεί."
Size,Μέγεθος
Skip to main content,Μετάβαση στο κύριο περιεχόμενο
Some tasks may take a while. Bert will reply when it's done.,Ορισμένες εργασίες μπορεί να διαρκέσουν λίγο. Ο Bert θα απαντήσει όταν ολοκληρωθούν.
Something went wrong,Κάτι πήγε στραβά
Sort,Ταξινόμηση
Sort ascending,Ταξινόμηση αύξουσα
Sort descending,Ταξινόμηση φθίνουσα
Sort:,Ταξινόμηση:
sorted by,Ταξινόμηση κατά
Source,Πηγή
Source entity,Οντότητα-πηγή
Source page,Σελίδα-πηγή
Source relationship type,Τύπος σχέσης πηγής
Source template,Πρότυπο πηγής
Source Template,Πρότυπο πηγής
Source's role in the relationship Source-Target.,Ο ρόλος της πηγής στη σχέση πηγή-στόχος.
Stage,Στάδιο
stat*,στατ*
State,Πολιτεία
Statistics,Στατιστικά στοιχεία
Stats & Filters,Στατιστικά & φίλτρα
Status,Κατάσταση
status AND women NOT Nicaragua,κατάσταση AND γυναίκες NOT Νικαράγουα
Stop filling,Διακοπή συμπλήρωσης
Storage,Αποθήκευση
Streets,Δρόμοι
Strict mode,Αυστηρή λειτουργία
Style,Στυλ
Submit,Υποβολή
Submitted entity to a remote instance,Υποβληθείσα οντότητα σε απομακρυσμένη εγκατάσταση
Submitting,Υποβολή
Success,Επιτυχία
"Success, Upload another?","Επιτυχία, μεταφόρτωση άλλου;"
Suggestion,Πρόταση
Suggestion:,Πρόταση:
Suggestions,Προτάσεις
suggestions,προτάσεις
Suggestions sent,Οι προτάσεις στάλθηκαν
Suggestions updated,Οι προτάσεις ενημερώθηκαν.
Supported chart types for manual data,Υποστηριζόμενοι τύποι γραφημάτων για χειροκίνητα δεδομένα
Supported chart types for this configuration,Υποστηριζόμενοι τύποι γραφημάτων για αυτή τη διαμόρφωση
Supporting,Υποστηρικτικό
Supporting file,Υποστηρικτικό αρχείο
Supporting files,Υποστηρικτικά αρχεία
Synced template,Συγχρονισμένο πρότυπο
Synced Template,Συγχρονισμένο πρότυπο
Synced templates cannot be deleted.,Τα συγχρονισμένα πρότυπα δεν μπορούν να διαγραφούν.
System translations,Μεταφράσεις συστήματος
Table,Πίνακας
Table of Contents,Πίνακας περιεχομένων
Table of contents,Πίνακας περιεχομένων
Table of contents saved successfully,Ο πίνακας περιεχομένων αποθηκεύτηκε με επιτυχία
Table view,Προβολή πίνακα
Target entity,Οντότητα-στόχος
Target entity type,Τύπος οντότητας-στόχου
Target relationship type,Τύπος σχέσης στόχου
Target Template,Πρότυπο στόχου
Target template,Πρότυπο στόχου
Target's role in the relationship Source-Target.,Ο ρόλος του στόχου στη σχέση πηγή-στόχος.
Target:,Στόχος:
Tasks,Εργασίες
Template,Πρότυπο
Template changes are being applied to all related entities.,Οι αλλαγές προτύπων εφαρμόζονται σε όλες τις σχετικές οντότητες.
Template color,Χρώμα προτύπου
"Template colors apply when comparing data sources or when the dimension is entity
              type. Otherwise the chart palette is used as fallback.","Τα χρώματα του προτύπου εφαρμόζονται κατά τη σύγκριση πηγών δεδομένων ή όταν η διάσταση είναι τύπου οντότητας.
Σε κάθε άλλη περίπτωση, χρησιμοποιείται η παλέτα του γραφήματος ως εναλλακτική λύση."
Template conflict,Σύγκρουση προτύπου
Template name,Όνομα προτύπου
Template name already exists,Το όνομα του προτύπου υπάρχει ήδη
Template processing completed.,Η επεξεργασία του προτύπου ολοκληρώθηκε.
Template saved successfully.,Το πρότυπο αποθηκεύτηκε με επιτυχία.
Template with a long number of entities,"Το πρότυπο άλλαξε και οι συσχετισμένες οντότητες θα επαναευρετηριαστούν.
                                        Αυτή η διαδικασία μπορεί να διαρκέσει αρκετά λεπτά. Θέλετε να συνεχίσετε;"
Template(s),Πρότυπο(α)
Template(s) deleted successfully.,Πρότυπο(α) διαγράφηκαν επιτυχώς.
Templates,Πρότυπα
Templates:,Πρότυπα:
Text,Κείμενο
Text references limit warning,Οι αναφορές κειμένου περιορίζονται προσωρινά σε μέγιστο 300. Εργαζόμαστε αυτή τη στιγμή για την επίλυση του ζητήματος.
"The process of extracting the paragraphs has successfully started. Check the Status
              column for updates on the process.","Η διαδικασία εξαγωγής των παραγράφων ξεκίνησε επιτυχώς. Ελέγξτε τη στήλη
              Κατάσταση για ενημερώσεις σχετικά με τη διαδικασία."
The request could not be processed.,Το αίτημα δεν μπόρεσε να επεξεργαστεί.
The source of this template is a sync.,Η πηγή αυτού του προτύπου είναι συγχρονισμός.
The token does not validate against the secret key,Το token δεν επικυρώνεται με το μυστικό κλειδί
The token does not validate against the secret key!,Το token δεν επικυρώνεται με το μυστικό κλειδί!
"the words together, in that order","τις λέξεις μαζί, με αυτή τη σειρά"
the words within 5 of each other,οι λέξεις που απέχουν μεταξύ τους έως 5
Theme and branding,Θέμα και εταιρική ταυτότητα
Theme colors,Χρώματα θέματος
Theme colors imported,Τα χρώματα θέματος εισήχθησαν.
Theme favicon,Εικονίδιο θέματος
Theme instance file invalid,Το αρχείο της παρουσίας του θέματος δεν είναι έγκυρο
Theme logotype,Λογότυπο θέματος
Theme presets,Προεπιλογές θεμάτων
Theme preview,Προεπισκόπηση θέματος
Then by,Στη συνέχεια κατά
There are no pages enabled for entity view,Δεν υπάρχουν σελίδες ενεργοποιημένες για την προβολή οντότητας
There are no untranslated terms,Δεν υπάρχουν αμετάφραστοι όροι
Thesauri,Θησαυροί
Thesauri added.,Ο θησαυρός προστέθηκε.
Thesauri deleted,Ο θησαυρός διαγράφηκε.
Thesauri name,Όνομα θησαυρού
thesauri new group desc,"Κάθε στοιχείο που δημιουργείται θα ανήκει σε αυτήν την ομάδα. Μόλις πληκτρολογήσετε το όνομα του πρώτου στοιχείου, μια νέα φόρμα στοιχείου θα εμφανιστεί από κάτω, ώστε να μπορείτε να συνεχίσετε να προσθέτετε όσα θέλετε."
thesauri new item desc,"Μόλις πληκτρολογήσετε το όνομα του πρώτου στοιχείου, μια νέα φόρμα στοιχείου θα εμφανιστεί από κάτω, ώστε να μπορείτε να συνεχίσετε να προσθέτετε όσα θέλετε."
Thesauri updated.,Ο θησαυρός ενημερώθηκε.
Thesauri values created,Δημιουργία τιμών θησαυρού όρων
Thesaurus,Θησαυρός
Thesaurus created successfully.,Ο θησαυρός δημιουργήθηκε με επιτυχία.
Thesaurus name,Όνομα θησαυρού
Thesaurus name already exists,Το όνομα του θησαυρού υπάρχει ήδη
Thesaurus saved,Ο Θησαυρός αποθηκεύτηκε.
This action may take some time while we add the extra language to the entire collection.,Αυτή η ενέργεια μπορεί να πάρει κάποιο χρόνο καθώς προσθέτουμε την επιπλέον γλώσσα σε ολόκληρη τη συλλογή.
This area allows you to append custom Javascript to the page. This opens up a new universe of possibilities.,Αυτή η περιοχή σας επιτρέπει να προσθέσετε προσαρμοσμένο Javascript στη σελίδα. Αυτό ανοίγει ένα νέο σύμπαν δυνατοτήτων.
This chart type cannot display the current data.,Αυτός ο τύπος γραφήματος δεν μπορεί να εμφανίσει τα τρέχοντα δεδομένα.
"This chart type cannot display the current data. Pick a supported type in the Chart
              tab.","Αυτός ο τύπος γραφήματος δεν μπορεί να εμφανίσει τα τρέχοντα δεδομένα. Επιλέξτε έναν υποστηριζόμενο τύπο στην καρτέλα
 «Γράφημα»."
"This chart type has no extra options. Select another chart type above if you need
            legend, labels, or data filters.","Αυτός ο τύπος γραφήματος δεν διαθέτει επιπλέον επιλογές. Επιλέξτε έναν άλλο τύπο γραφήματος από την παραπάνω λίστα, αν χρειάζεστε
 λεζάντα, ετικέτες ή φίλτρα δεδομένων."
This content is automatically generated,Αυτό το περιεχόμενο δημιουργείται αυτόματα
This data visualization name already exists. Enter a unique name.,Αυτό το όνομα οπτικοποίησης δεδομένων υπάρχει ήδη. Εισάγετε ένα μοναδικό όνομα.
"This entity has no document, you probably want to see the metadata","Αυτή η οντότητα δεν έχει έγγραφο, πιθανώς θέλετε να δείτε τα μεταδεδομένα"
This entity is restricted from public view.,Αυτή η οντότητα δεν είναι ορατή στο κοινό.
This field is required,Αυτό το πεδίο είναι υποχρεωτικό
This file could not be displayed. Try refreshing the page.,Δεν ήταν δυνατή η εμφάνιση αυτού του αρχείου. Δοκιμάστε να ανανεώσετε τη σελίδα.
