Key,Turkish
Sending email description,"Bu, Uwazi koleksiyonunuzdan kayıtlı kullanıcılara e-posta gönderildiğinde gönderen olarak görünecek e-posta adresidir. Varsayılan adres *no-reply@uwazi.io* şeklindedir. Buraya istediğiniz e-posta adresini girerek özel bir adres belirleyebilirsiniz."
Sending labeled data,Etiketli veriler gönderiliyor
Series,Dizi
Services,Hizmetler
Set as default,Varsayılan olarak ayarla
Set default language,Varsayılan dili ayarla
Set default template,Varsayılan şablonu ayarla
Set the default starting point for your geolocation properties.,Coğrafi konum özellikleriniz için varsayılan başlangıç noktasını ayarlayın.
Settings,Ayarlar
settings,Ayarlar
Settings navigation active background,Ayarlar menüsünde etkin arka plan
Settings sidebar background,Ayarlar kenar çubuğunun arka planı
Settings updated,Ayarlar güncellendi.
Share,Paylaş
Share edit access with other users,Düzenleme erişimini diğer kullanıcılarla paylaşın
Share entities with the public,Varlıkları herkesle paylaşın
Share with people and groups,Kişiler ve gruplarla paylaşın
Shared as editor,Editör olarak paylaş
Shared as viewer,Görüntüleyici olarak paylaş
Show actions,İşlemleri göster
Show cookie policy,Çerez politikasını göster
Show details,Ayrıntıları göster
Show filters,Filtreleri göster
Show in cards,Fişte göster
Show information,Bilgileri göster
Show less,Daha az göster
Show more,Daha fazla göster
Show remaining in panel,Panelde kalanları göster
Show toolbar,Araç çubuğunu göster
Showing,Gösteriliyor
Showing the top,Gösterilen ilk
shown of,gösterilen
Sign in,Oturum aç
Simple mode,Basit mod
Single relationships must have a hub,Tekli ilişkilerin bir merkez noktası olması gerekir
Site logo description,"Logo, koleksiyon adınızın yanındaki üst çubukta görünür (yaklaşık 200×32 piksel).

1. Gerekirse, Özel Yüklemeler bölümüne görseller yükleyin.
2. ""Site logosu görselini seç"" seçeneğine tıklayın ve bir dosya seçin; yalnızca Özel Yüklemeler bölümündeki görseller listelenir."
Site logo no images hint,"Özel Yüklemeler bölümünde henüz hiçbir resim dosyası yok. Öncelikle buraya PNG, SVG veya JPEG formatında resimler ekleyin."
Size,Boyut
Skip to main content,Ana içeriğe atla
Some tasks may take a while. Bert will reply when it's done.,Bazı işlemler biraz zaman alabilir. İşlem tamamlandığında Bert size yanıt verecektir.
Something went wrong,Bir şey ters gitti
Sort,Sırala
Sort ascending,Artan sıraya göre sırala
Sort descending,Azalan sıraya göre sırala
Sort:,Sıralama:
sorted by,şuna göre sıralandı:
Source,Kaynak
Source entity,Kaynak varlık
Source page,Kaynak sayfa
Source relationship type,Kaynak ilişki türü
Source template,Kaynak şablonu
Source Template,Kaynak Şablonu
Source's role in the relationship Source-Target.,Kaynak-Hedef ilişkisinde kaynağın rolü.
Stage,Aşama
stat*,stat*
State,Eyalet
Statistics,İstatistikler
Stats & Filters,İstatistikler ve Filtreler
Status,Durum
status AND women NOT Nicaragua,status AND women NOT Nicaragua
Stop filling,Doldurmayı durdurun
Storage,Depolama
Streets,Sokaklar
Strict mode,Sıkı mod
Style,Stil
Submit,Gönder
Submitted entity to a remote instance,Varlık uzak bir örneğe aktarıldı
Submitting,Gönderiliyor
Success,Başarı
"Success, Upload another?","Başarılı, bir tane daha yüklemek ister misiniz?"
Suggestion,Öneri
Suggestion:,Öneri:
Suggestions,Öneriler
suggestions,öneriler
Suggestions sent,Öneriler gönderildi
Suggestions updated,Öneriler güncellendi
Supported chart types for manual data,Manuel veri girişi için desteklenen grafik türleri
Supported chart types for this configuration,Bu yapılandırma için desteklenen grafik türleri
Supporting,Destekleyici
Supporting file,Destekleyici dosya
Supporting files,Destekleyici belgeler
Synced template,Senkronize şablon
Synced Template,Senkronize Şablon
Synced templates cannot be deleted.,Senkronize edilmiş şablonlar silinemez.
System translations,Sistem çevirileri
Table,Tablo
Table of Contents,İçindekiler
Table of contents,İçindekiler
Table of contents saved successfully,İçindekiler başarıyla kaydedildi
Table view,Tablo görünümü
Target entity,Hedef varlık
Target entity type,Hedef varlık türü
Target relationship type,Hedef ilişki türü
Target Template,Hedef Şablonu
Target template,Hedef şablonu
Target's role in the relationship Source-Target.,Kaynak-Hedef ilişkisinde Hedef'in rolü.
Target:,Hedef:
Tasks,Görevler
Template,Şablon
Template changes are being applied to all related entities.,"Şablon değişiklikleri, ilgili tüm varlıklar üzerinde uygulanmaktadır."
Template color,Şablon rengi
"Template colors apply when comparing data sources or when the dimension is entity
              type. Otherwise the chart palette is used as fallback.","Veri kaynakları karşılaştırılırken veya boyutun varlık
türü olduğu durumlarda şablon renkleri uygulanır. Aksi takdirde, yedek olarak grafik paleti kullanılır."
Template conflict,Şablon çakışması
Template name,Şablon adı
Template name already exists,Şablon adı zaten mevcut
Template processing completed.,Şablon işleme tamamlandı.
Template saved successfully.,Şablon başarıyla kaydedildi.
Template with a long number of entities,"Şablon değişti ve ilgili varlıklar yeniden indekslenecek;
bu işlem birkaç dakika sürebilir, devam etmek istiyor musunuz?"
Template(s),Şablon(lar)
Template(s) deleted successfully.,Şablon(lar) başarıyla silindi.
Templates,Şablonlar
Templates:,Şablonlar:
Text,Metin
Text references limit warning,Metin referansları geçici olarak en fazla 300 ile sınırlandırılmıştır. Şu anda bu sorunun çözümü için çalışıyoruz.
"The process of extracting the paragraphs has successfully started. Check the Status
              column for updates on the process.","Paragrafların çıkarılması işlemi başarıyla başlatıldı. İşlemle ilgili güncellemeler için
“Durum” sütununu kontrol edin."
The request could not be processed.,İstek işleme alınamadı.
The source of this template is a sync.,Bu şablonun kaynağı bir senkronizasyondur.
The token does not validate against the secret key,"Jeton, gizli anahtarla eşleşmiyor"
The token does not validate against the secret key!,"Jeton, gizli anahtarla eşleşmiyor!"
"the words together, in that order",kelimeleri bu sırayla bir araya getirin
the words within 5 of each other,birbirinden 5 birim uzaklıkta bulunan kelimeler
Theme and branding,Tema ve marka kimliği
Theme colors,Tema renkleri
Theme colors imported,Tema renkleri içe aktarıldı
Theme favicon,Tema favikonu
Theme instance file invalid,Tema örneği dosyası geçersiz
Theme logotype,Tema logosu
Theme presets,Tema ön ayarları
Theme preview,Tema önizlemesi
Then by,"Sonra, şu şekilde:"
There are no pages enabled for entity view,Varlık görünümü için etkinleştirilmiş sayfa yok
There are no untranslated terms,Çevrilmemiş terim bulunmamaktadır
Thesauri,Thesaurus
Thesauri added.,Thesaurus eklendi.
Thesauri deleted,Thesaurus silindi
Thesauri name,Thesaurus adı
thesauri new group desc,Yazdıkça yeni öğe satırları otomatik olarak görünür.
thesauri new item desc,Yazdıkça yeni öğe satırları otomatik olarak görünür.
Thesauri updated.,Thesaurus güncellendi.
Thesauri values created,Oluşturulan thesaurus değerleri
Thesaurus,Thesaurus
Thesaurus created successfully.,Thesaurus başarıyla oluşturuldu.
Thesaurus name,Thesaurus adı
Thesaurus name already exists,Thesaurus adı zaten mevcut
Thesaurus saved,Thesaurus kaydedildi
This action may take some time while we add the extra language to the entire collection.,Tüm koleksiyona yeni dili eklerken bu işlem biraz zaman alabilir.
This area allows you to append custom Javascript to the page. This opens up a new universe of possibilities.,"Bu alan, sayfaya özel Javascript eklemenizi sağlar. Bu, yeni bir olasılıklar evreni açar."
This chart type cannot display the current data.,Bu grafik türü mevcut verileri görüntüleyemiyor.
"This chart type cannot display the current data. Pick a supported type in the Chart
              tab.","Bu grafik türü mevcut verileri görüntüleyemez. Grafik
sekmesinden desteklenen bir tür seçin."
"This chart type has no extra options. Select another chart type above if you need
            legend, labels, or data filters.","Bu grafik türünde ek seçenek bulunmamaktadır. Açıklama, etiketler veya veri filtrelerine ihtiyacınız varsa
yukarıdan başka bir grafik türü seçin."
This content is automatically generated,Bu içerik otomatik olarak oluşturulur
This data visualization name already exists. Enter a unique name.,Bu veri görselleştirme adı zaten mevcut. Benzersiz bir ad girin.
"This entity has no document, you probably want to see the metadata","Bu varlığın belgesi yok, muhtemelen meta verileri görmek isteyebilirsiniz"
This entity is restricted from public view.,Bu varlığın genel görünümü kısıtlanmıştır.
This field is required,Bu alan zorunludur
This file could not be displayed. Try refreshing the page.,Bu dosya görüntülenemedi. Sayfayı yenilemeyi deneyin.
This file could not be opened. It may be corrupted or not a valid PDF.,Bu dosya açılamadı. Dosya bozuk olabilir veya geçerli bir PDF dosyası olmayabilir.
"This file is currently unavailable. Please contact your administrator if the issue
                  persists.","Bu dosya şu anda kullanılamıyor. Sorun
devam ederse lütfen yöneticinize başvurun."
"This file is currently unavailable. Please contact your administrator if the issue
              persists.","Bu dosya şu anda kullanılamıyor. Sorun
devam ederse lütfen yöneticinize başvurun."
This file type is not supported on media fields,"Bu dosya türü, medya alanlarında desteklenmemektedir"
This group is empty,Bu grup boş
This import is waiting in queue.,Bu içe aktarma işlemi sırada bekliyor.
This label already exists in this template,Bu şablonda bu etiket zaten mevcut
This page does not need Markdown,Bu sayfada Markdown kullanılmasına gerek yoktur
"This page uses HTML only (Markdown is not processed). You can embed maps, charts, entity
          lists, and other components.","Bu sayfada yalnızca HTML kullanılmaktadır (Markdown işlenmemektedir). Haritalar, grafikler, varlık
listeleri ve diğer bileşenleri sayfaya ekleyebilirsiniz."
This property can not be deleted,Bu özellik silinemez
This property will appear in the library cards as part of the basic info.,"Bu özellik, temel bilgilerin bir parçası olarak kütüphane fişlerinde görünecektir."
This property will be shown using all the width available.,"Bu özellik, mevcut tüm genişlik kullanılarak gösterilecektir."
This property will be shown without the label,"Bu özellik, etiket olmadan gösterilecektir"
This property will be the default filter in the library for this template.,"Bu özellik, bu şablon için kütüphanedeki varsayılan filtre olacaktır."
"This property will be used for filtering the library results. When properties match in equal name and field type with other entity types, they will be combined for filtering.","Bu özellik, kütüphane sonuçlarını filtrelemek için kullanılacaktır. Özelliklerin adı ve alan türü diğer varlık türleriyle aynı olduğunda, filtreleme amacıyla birleştirilecektir."
This search could not be completed. Try again later.,Bu arama tamamlanamadı. Lütfen daha sonra tekrar deneyin.
"This site uses cookies for language preferences and analytics. Session cookies are only
            set when you log in.","Bu site, dil tercihleri ve analiz amacıyla çerezler kullanmaktadır. Oturum çerezleri yalnızca
giriş yaptığınızda ayarlanır."
This table of contents was automatically created by the system.,Bu içindekiler tablosu sistem tarafından otomatik olarak oluşturulmuştur.
this template,bu şablon
This template is in use by existing entities and cannot be deleted.,"Bu şablon, mevcut varlıklar tarafından kullanılmaktadır ve silinemez."
Thumbnail,Küçük resim
Time,Saat
Time (UTC),Saat (UTC)
Timeline,Zaman Çizelgesi
Timelinks,Zaman Bağlantıları
Timestamp,Zaman damgası
tips,ipuçları
Title,Başlık
To,Bitiş:
"To complete the account creation process, please create a password for your account",Hesap oluşturma işlemini tamamlamak için lütfen hesabınız için bir parola oluşturun
to view your authentication code and verify your identity.,kimlik doğrulama kodunuzu görüntülemek ve kimliğinizi doğrulamak için.
Today,Bugün
Toggle relationship details,İlişki ayrıntılarını göster/gizle
Toggle timeline mode,Zaman çizelgesi modunu aç/kapat
Tools,Araçlar
total entities,toplam varlık sayısı
Total files,Toplam dosya sayısı
total files,toplam dosya sayısı
"Total files from main documents, supporting files and uploads","Ana belgeler, destekleyici dosyalar ve yüklenen dosyalardan oluşan toplam dosya sayısı"
Total imports,Toplam içe aktarma
total users,toplam kullanıcı sayısı
Train,Eğit
Train model,Modeli eğit
Train model description,"Makine öğrenimi modellerinin eğitilmesi, etiketlenmiş verilerin miktarına ve görevin zorluk derecesine bağlı olarak birkaç dakikadan birkaç saate kadar sürebilir."
Training,Eğitim
Training model,Model eğitiliyor
Training sample,Eğitim örneği
Translate,Çevir
Translating,Translating
Translation,Çeviri
Translations,Çeviriler
Translations imported.,Çeviriler içe aktarıldı.
Translations reset successfully,Çeviriler başarıyla sıfırlandı
Translations saved,Çeviriler kaydedildi
Try a different search or clear filters.,Farklı bir arama deneyin veya filtreleri temizleyin.
Turn off inline translation,Satır içi çeviriyi devre dışı bırak
"Two categorical dimensions enable stacked bar charts (e.g. country with sex
              breakdown).","İki kategorik boyut, yığılmış çubuk grafiklerin oluşturulmasına olanak tanır (örneğin, ülke ve cinsiyete
göre dağılım)."
Two-Factor Authentication,İki Faktörlü Kimlik Doğrulama
Two-factor authentication enabled,İki faktörlü kimlik doğrulama etkinleştirildi
Two-factor authentication failed.,İki faktörlü kimlik doğrulama başarısız oldu.
Two-factor authentication secret,İki faktörlü kimlik doğrulama gizli anahtarı
Two-factor verification failed,İki faktörlü doğrulama başarısız oldu
Two-step verification,İki faktörlü doğrulama
Two-step verification token required,İki aşamalı doğrulama jetonu gereklidir
Type,Tür
U,U
"Unable to save, failed response","Kaydedilemedi, yanıt hatası"
Unauthorized,Yetkisiz
Unexpected error,Beklenmedik hata
Uninstall,Kaldır
Uninstall language,Dili kaldır
Uninstalling language,Dil kaldırılıyor
Unknown entity,Bilinmeyen varlık
Unknown template,Bilinmeyen şablon
Unlink,Bağlantıyı kaldır
Unlock account,Hesabın kilidini aç
Unsaved changes,Kaydedilmemiş değişiklikler
Unsupported OCR language,Desteklenmeyen OCR dili
Untitled,İsimsiz
Untranslated Terms,Çevrilmemiş Terimler
Update,Güncelle
UPDATE,Güncelle
Update from collection,Koleksiyondan güncelle
Update success,Güncelleme başarıyla tamamlandı
Updated,Güncellendi
Updated file,Güncellenmiş dosya
Updated multiple entities,Birden fazla varlık güncellendi
Updated permissions on entity,Varlık üzerindeki izinler güncellendi
Updated relationships,Güncellenen ilişkiler
Updated settings,Güncellenen ayarlar
Updated translations,Güncellenen çeviriler
Updated user,Güncellenen kullanıcı
Updating template properties across,Şablon özellikleri güncelleniyor —
Updating…,Güncelleniyor…
Upload and select file,Dosya yükle ve seç
Upload from computer,Bilgisayardan yükle
Upload image,Resim yükle
Upload PDF,PDF Yükle
Upload PDF(s) to create,Oluşturmak için PDF(leri) yükleyin
Uploaded attachment,Yüklenen ek
Uploaded custom file,Özel dosya yüklendi
Uploaded document,Yüklenen belge
Uploaded file,Yüklenen dosya
Uploading,Yükleniyor
Uploading ...,Yükleniyor ...
Uploads,Yüklemeler
URL,URL
Use,Kullan
Use as filter,Filtre olarak kullanın
Use for training,Eğitim amacıyla kullanın
"Use this iframe on external sites. Change the locale query parameter in the URL if
                needed.","Bu iframe’i harici sitelerde kullanın. Gerekirse URL’deki yerel ayar sorgu parametresini
değiştirin."
Use URL,URL'yi kullan
Used in templates and {n} refs — cannot delete,Şablonlarda ve {n} referansta kullanılmaktadır — silinemez
Used in templates — cannot delete,Şablonlarda kullanılıyor — silinemez
Used in {n} refs — cannot delete,{n} referansta kullanılıyor — silinemez
User,Kullanıcı
User Action,Kullanıcı Eylemi
User Role,Kullanıcı Rolü
User updated,Kullanıcı güncellendi
Username,Kullanıcı adı
Username is required,Kullanıcı adı gerekli
Username is too long,Kullanıcı adı çok uzun
Username is too short,Kullanıcı adı çok kısa
"Username, email or group","Kullanıcı adı, e-posta adresi veya grup"
Usernames cannot have spaces,Kullanıcı adlarında boşluk bulunamaz
Users,Kullanıcılar
Users & Groups,Kullanıcılar ve Gruplar
Using Authenticator,Authenticator'ı Kullanma
Using URLs,URL'lerin kullanımı
Uwazi,Uwazi
Uwazi Docs,Uwazi Docs
Uwazi is developed by,Uwazi tarafından geliştirildi
Uwazi UI,Uwazi Kullanıcı Arayüzü
Validating,Doğrulanıyor
Validating file structure and headers.,Dosya yapısı ve başlıklar doğrulanıyor.
Value,Değer
Value cannot be transformed to the correct type,"Değer, doğru türe dönüştürülemiyor"
values,değerler
"values are staged, not saved","değerler beklemede, kaydedilmedi"
Verify,Doğrula
Verifying...,Doğrulanıyor...
via,üzerinden
View,Görüntüle
view,Görüntüle
View entities,Varlıkları görüntüle
View entity,Varlığı görüntüle
View in library,Kitaplıkta görüntüle
View page,sayfaya bak
Visibility,Görünürlük
Visualization data updated from your collection.,Koleksiyonunuzdan alınan görselleştirme verileri güncellendi.
WARNING,UYARI
Warning: you are editing multiple entities. Fields marked with a,Uyarı: birden çok varlığı düzenliyorsunuz. Şu işaretlenmiş alanlar ile
We can't find the page you're looking for.,Aradığınız sayfayı bulamıyoruz.
Welcome to Uwazi,Uwazi'ye hoş geldiniz
"Well, this is awkward...","Peki, bu garip bir durum..."
"When enabled, visitors must accept or reject non-essential cookies before they are set.
    Analytics and language preference cookies are blocked until accepted.","Bu özellik etkinleştirildiğinde, ziyaretçiler gerekli olmayan çerezlerin yerleştirilmesinden önce bunları kabul etmek veya reddetmek zorundadır.
    Analiz ve dil tercihi çerezleri, kabul edilene kadar engellenir."
Whitelisted templates,Beyaz listeye alınmış şablonlar
wildcard,joker karakter
wildcard (many chars),joker karakter (birden fazla karakter)
wildcard (one char),joker karakter (tek karakter)
"Will attempt to fill the container, using its entire width. In cards, cropping is likely to occur.","Kutuyu, genişliğinin tamamını kullanarak doldurmaya çalışacaktır. Kartlarda kırpma olması muhtemeldir."
will be updated with the same value.,aynı değerle güncellenecektir.
Will show the entire media inside the container.,Konteynerin içindeki tüm medya öğelerini gösterecektir.
with,ile
With great power comes great responsibility!,Büyük güç büyük sorumluluk getirir!
wom?n,wom?n
x,x
x less,daha az
x more,daha az
Year,Yıl
Yes,Evet
You can add one or many items in this form.,Bu forma bir veya birden fazla öğe ekleyebilirsiniz.
You can also enter this secret key into your Authenticator app.,Bu gizli anahtarı Authenticator uygulamanıza da girebilirsiniz.
You can create metadata templates in,Meta veri şablonları oluşturabilirsiniz
"You can embed advanced components like maps, charts and entity lists in your page.","Sayfanıza haritalar, grafikler ve varlık listeleri gibi gelişmiş bileşenleri ekleyebilirsiniz."
You do not have write permission on all entities,Tüm varlıklar üzerinde yazma izniniz yok
You have unsaved changes. Discard them? This action cannot be undone.,Kaydedilmemiş değişiklikleriniz var. Bunlardan vazgeçmek istiyor musunuz? Bu işlem geri alınamaz.
You have unsaved changes. Do you want to continue?,Kaydedilmemiş değişiklikleriniz var. Devam etmek istiyor musunuz?
You should activate this feature for enhanced account security,Gelişmiş hesap güvenliği için bu özelliği etkinleştirmelisiniz
You should activate this feature for enhanced account security.,Hesap güvenliğinizi artırmak için bu özelliği etkinleştirmelisiniz.
You won't be able to save an entity if this property is empty.,"Bu özellik boşsa, bir varlığı kaydedemezsiniz."
You're all caught up,Her şey güncel
Your account's security is enhanced with two-factor authentication.,İki faktörlü kimlik doğrulama sayesinde hesabınızın güvenliği artırılmıştır.
Z → A,Z → A
Zoom in,Yakınlaştır
Zoom in library view,Kütüphane görünümünü yakınlaştır
Zoom out,Uzaklaştır
Zoom out library view,Kütüphane görünümünü uzaklaştır
