Key,Component,View,Context
New password,Input field label,Settings > Account,Label for the password input where the user types a new password.
New primary doc,Dropdown option label,Entity view,"Option in the add-file modal's ""Add as"" dropdown for uploading a file as a new primary document."
New relation type label…,Text input placeholder,Entity view,"Placeholder of the free-text input used to name a new relationship type, in both the manage-types modal and the relation-type step."
New relationship type,Dropdown placeholder,Entity view,Placeholder text of the relationship-type dropdown shown for a new (untyped) relationship group in the relationships editor.
New relationships group,Button label,Entity view,Label on the button that adds a new relationship hub/group while editing an entity's relationships.
New Relationships Migration,Navigation link,Settings,"Admin sidebar link, shown only when the newRelationships feature toggle is on, routing to the relationships migration page."
New user,Sidepanel title,Settings > Users & Groups,Title of the sidepanel shown when creating a new user.
Next,Pagination/wizard control label,Shared (used across 4 views),"Generic ""go to next page/step"" label used for PDF page navigation and for advancing steps in extractor-creation wizards, appearing in the Entity view, Library, and Settings (Activity Log, Metadata extraction, Paragraph Extraction)."
No,Button label,Entity view,Cancel button in the delete-confirmation popover for removing a table-of-contents entry.
No attachments,Empty state heading,Entity view,Shown in the attachments modal when a media/image field has no files uploaded yet.
No audio or video on this entity,Empty state message,Entity view,"Shown in the media picker modal, media mode, when the entity has no existing audio/video attachments to pick from."
No chart types match your search.,Empty-search message,Settings > Data Visualizations,"Message shown in the ""Load example"" modal's chart-type list when the search filter matches nothing."
No common filters,Empty state heading,Library,Heading shown in the filters panel when the selected entity types share no common filterable properties.
No connected entities yet.,Empty-state message,Entity page metadata panel (relationship-type property display),"Default value of the `emptyLabel` prop in `RelationshipConnectionsTable.tsx`, rendered via `<Translate>{emptyLabel}</Translate>` — shown when a relationship property has no connected entities and no caller overrides the label."
No Connections,Empty-state heading,Document/Entity Viewer (References side panel),"Passed as a variable into `ConnectionsList.blankStateMessage(title, message)` in `app/react/Viewer/components/ConnectionsList.jsx`, rendered via `t('System', title)` — shown when viewing ""Connections"" tab with zero references."
No Connections description,Empty-state body text,Document/Entity Viewer (References side panel),"Same `blankStateMessage` helper as above, rendered via `t('System', message)` — the description line under ""No Connections""."
No context,Checkbox label / status text,Settings > Metadata extraction,"Filter checkbox for suggestions lacking a text segment, and the matching status text shown in the suggestions table's Context column."
No CSVs yet,Blank state heading,Settings > Import CSV,Heading shown in the empty state when the CSV imports list has no entries.
No data,Empty state message in results table,Pages / Entity view,Shown by DatavizListView in place of the results table when a list-type visualization has no data points.
NO DATA AVAILABLE,Empty-state / no-data message,Shared (used across many views),"Generic fallback text for missing data, used as the default empty state in the shared Table component (many Settings pages), the entity metadata panel, the entity relationships overlay, and the Library entity preview."
No entities found,Blank-state heading,Library,Heading shown in the card or map results view when the search returns zero entities.
NO EXTRACTORS,Empty-state message,Settings > Paragraph Extraction,Message shown in the extractors table when no extractors have been created yet.
No files available,Empty state message,Entity view,Message shown when a files table or file list has no files to display.
No files queued yet.,Helper text,Entity view,Helper text below the add-file dropzone shown before any file has been selected for upload.
no filters for templates,Empty state description,Library,"Explanatory text below the ""No common filters"" heading, describing the lack of shared filters."
No Group,Dropdown option label,Settings > Menu,"Default option in the Group select field of the link form, representing no parent group."
No icon / flag,Placeholder label,Library / Entity view,Fallback text shown in the icon/flag picker list when a thesaurus value has no icon assigned.
No images on this entity,Empty state message,Entity view,"Shown in the media picker modal, image mode, when the entity has no existing image attachments to pick from."
No items available,Empty state message,Shared (used across 6 views),"Default text shown inside the multi-select list component when there are no items to choose from, across entity editing and several Settings modals."
No label,Fallback section heading,Entity view,"Fallback heading for a relationship-type group with no name, in the hidden SSR-only relationships index used for crawlers/accessibility."
No Label,Fallback label,Shared (used across 2 views),"Fallback label shown for a relationship type, filter group, or connection template that has no name defined."
No matches for,Empty results message (fragment),Entity view,Prefix shown before the quoted search term when a document search returns no matches.
No matches.,Empty-state message,Library,Shown inside a keyword facet when the current search text matches no filter options.
No matching entities.,Empty state message,Entity view,Shown in the entity search dropdown of the relationship field editor when no candidates match the typed query.
No media selected,Empty state message,Entity view,Placeholder text shown in the media property field of the entity editor when no image/audio/video has been chosen.
No metadata for this entity yet.,Empty state message,Entity view,Shown in the entity metadata panel when the entity's template has no fields with values to display.
No options,Dropdown placeholder,Shared (used across many Settings/Library filter sidepanels via `#V2/Components/Forms/MultiSelect`),"Default value of the `placeholder` prop in `app/react/V2/Components/Forms/MultiSelect.tsx`, rendered via `renderChild(placeholder)` which wraps it in `<Translate>` — shown when a multi-select has no options and no caller overrides the placeholder."
No options found,Empty-state message,Library / Entity view,Message shown inside a multiselect dropdown when no options match the current filter/search.
No page,Group label,"Entity page (V2 relationships panel, grouped by source page)","Returned as `{ kind: 'translate', key: 'No page' }` from `describeGroupLabel` in `relationshipsPanelGrouping.ts`, then rendered via `<Translate>{descriptor.key}</Translate>` in `RelationshipsGroupLabel.tsx` — shown as the group heading when relationships are grouped by ""source page"" but a relationship has no page association."
No people or groups added yet,Empty-state message,Entity view,Shown in place of the members list in the Share modal when no one has been given access yet.
No primary documents,Empty-state message,Entity view,Message shown in the files drawer when the entity has no primary documents.
No primary documents yet. Add a file to get started.,Empty-state message,Entity view,Shown in the Primary documents table of the entity Files tab when no primary files have been added.
No property,Fallback value label,Metadata display,"Placeholder text shown in place of a value when an entity property has no defined type, rendered anywhere entity metadata is displayed."
No References,Empty-state heading,Document/Entity Viewer (References side panel),"Same `ConnectionsList.blankStateMessage` pattern as ""No Connections"" — shown for the ""references"" section when there are no text references."
No References description,Empty-state body text,Document/Entity Viewer (References side panel),"Same `blankStateMessage` helper — description line under ""No References""."
No relationship types,Empty state heading,Entity view,"Heading shown when no relationship types exist yet, in the manage-types modal and in the relation-type picker step."
No Relationships,Blank-state heading,Entity view,Heading shown in the relationships panel's blank state when the entity has no relationships at all.
No Relationships description,Empty state message,Shared (used across 2 views),"Description text shown under ""No Relationships"" when an entity has no connections, in the relationships panel (Library and Entity view)."
No relationships found,Empty state message,Entity view,Shown in the relationships list and tree view when the current filter/search returns no relationships.
No relationships to graph,Empty state message,Entity view,Shown in place of the relationships graph view when there is nothing to visualize.
No releases yet,Empty state message,Settings > Pages,Placeholder shown in the restore-version modal's list when the page has no past releases to choose from.
No results found,Empty-state message,Entity view,Message shown in the create-relationship wizard's entity search step when no matching entities are found.
No supporting files yet. Add a file to get started.,Empty-state message,Entity view,"Message shown when the entity has no supporting files, in both the files drawer and the files table tab."
No table of contents,Blank-state heading,Library / Entity view,Heading shown in the document side panel's TOC tab when the document has no table-of-contents entries yet.
No Table of contents,Empty state heading,Entity view,Heading shown in the ToC panel when the document has no table-of-contents entries yet.
No table of contents description,Blank-state body text,Library / Entity view,"Explanatory sentence displayed under the ""No table of contents"" heading in the same blank state."
No templates available to add.,Empty state message,Settings > Dataviz > Data tab,Shown inside the Add Data Source modal when the template search filter matches no templates.
No text match,Empty-state heading,"Document/Entity Viewer (search-within-document side panel, `SearchText.jsx`/`DocumentSidePanel.jsx`)","Rendered via `t('System', !this.props.searchTerm ? 'Search text' : 'No text match')` — a ternary expression, not a literal, so the scanner missed it; shown when a search term yields zero snippet matches."
No text match description,Empty-state body text,Document/Entity Viewer (search-within-document side panel),Same ternary pattern as above for the description paragraph.
No timelinks added,Empty state message,Entity view,Message shown in the media field preview when an audio/video property has no timelinks defined yet.
No translation in,Inline banner,Entity view,"Banner over the document viewer stating no translation exists in the selected language, followed by the language shown instead."
No type,Table cell placeholder text,Settings > Templates,"Fallback text in the matching-properties table shown when a thesaurus, relation type, or inherited type reference is not set."
No uploaded images fit the requirements,Empty-state message,Settings > Collection,Text shown in the theme asset picker's image gallery when a size rule filters out every uploaded image.
No user or group found,Inline error message,Entity view,Error shown under the lookup input in the Share modal when a collaborator search returns no matches.
No valid target template available,Empty-state heading,Settings > Paragraph Extraction,Heading shown when no template qualifies for selection on the source or target template step of the create-extractor wizard.
No value,Placeholder text,Settings > Metadata extraction,Placeholder shown in the suggestion sidepanel's property display when the entity has no value for that property.
No visualization data available.,Empty state message,Pages / Entity view,Fallback message shown by DatavizEmbedById in place of the chart when the visualization payload failed to load or is empty.
no-toc-description,Empty state description,Entity view,"Explanatory text below the empty-ToC heading, telling the user to select text and click Add to ToC."
"No, cancel",Cancel button label,Settings > Paragraph Extraction,Cancel button in the confirmation dialogs for deleting paragraphs and deleting an extractor.
Non processed,Checkbox label,Settings > Metadata extraction,"Filter/status checkbox for suggestions not yet processed, in the Stats & Filters sidepanel and the Process extractor modal."
Non-labeled,Checkbox label,Settings > Metadata extraction,"Filter checkbox in the Stats & Filters sidepanel for suggestions whose entity has no value yet, shown with a count."
Non-latin characters support,Toggle label,Settings > Collection,"Label for the toggle enabling generated entity names for non-Latin scripts, shown only when not already active."
None,Dropdown option label,Entity view,"""No grouping"" / ""no sorting"" option in the relationships panel's group-by and sort-by menu."
Normal view,Toggle link label,Entity view,Label on the link that switches the document viewer from plain text back to the normal rendered view.
Not already been use as source template in another extractor,Empty-state list item,Settings > Paragraph Extraction,Requirement listed under the no-qualified-source-template empty state in the create-extractor wizard.
Not already been use as target template,Empty-state list item,Settings > Paragraph Extraction,Requirement listed under the no-qualified-source-template empty state in the create-extractor wizard.
Not Found,Fallback page heading text,Settings > Import CSV,Fallback file name shown as the page title and heading on the import status page when the uploaded file's original name is unavailable.
Nothing here yet.,Empty state message,Entity view,Default empty-state text of the reusable data table component; currently only wired up in the entity Files list.
Nothing selected,Placeholder text,Settings > Users & Groups,Placeholder shown in the groups and users multi-select fields when no members or groups are chosen.
Notifications,Panel heading,Unresolved,Title at the top of the global Notifications drawer/panel.
obsolete,Status tag,Settings > Metadata extraction,Tag shown next to a suggested value in the suggestions table marking that suggestion as obsolete.
Obsolete,Checkbox label,Settings > Metadata extraction,"Filter/status checkbox for suggestions marked obsolete, in the Stats & Filters sidepanel and the Process extractor modal."
OCR,Status label,Entity view,Status text shown on the OCR button (with a checkmark) once OCR has completed successfully.
OCR button tip,Tooltip,Entity view,"Tooltip text on the OCR button when the file has not been OCR'd yet, inviting the user to start OCR."
OCR completed,Status message,Entity view,Text shown in the OCR status panel when OCR processing has finished successfully.
OCR description tip 1,Tooltip,Settings > Collection,First paragraph of the OCR toggle's tooltip explaining what OCR does.
OCR description tip 2,Tooltip,Settings > Collection,Second paragraph of the OCR toggle's tooltip explaining who can trigger OCR.
OCR error,Status label,Entity view,Status text shown on the OCR button when OCR processing failed.
OCR error tip,Tooltip,Entity view,"Prefix of the tooltip text on the OCR button when OCR processing failed, followed by the last-updated time."
OCR PDF,Button label,Entity view,"Label on the OCR button when a file has no OCR yet, triggers starting OCR processing."
of,Count label,Shared (used across 10 views),"Word used in ""X of Y"" selection and count summaries, such as selected files/relationships and the graph's truncation notice."
Ok,Button label,Entity view,"Confirm button in the discard-changes modal that closes the document viewer form, discarding edits."
On this entity,Section label,Entity view,Heading over the list of the entity's own existing attachments in the media picker modal.
Only essential,Button label,Global,Button in the site-wide cookie consent banner that accepts only essential cookies.
"Only properties with the same name and configuration in every data source are available
            for both dimensions.",Helper text,Settings > Data Visualizations,Explanatory note shown in the Dimension section when a chart combines multiple data sources.
Only published entities are counted.,Radio option helper text,Settings > Data Visualizations,"Description under the ""Include only public"" option in the Entity scope section."
"Only templates that are not used as source in any other extractor and are not
                selected as target in this extractor are available for selection.",Helper text,Settings > Paragraph Extraction,Hint shown under the stepper on the source template selection step of the create-extractor wizard.
"Only templates with at least one rich text property and one numeric property are
                available for selection.",Helper text,Settings > Paragraph Extraction,Hint shown under the stepper on the target template selection step of the create-extractor wizard.
"Only the extractor will be deleted, all created entities will remain on the library.",Confirmation modal warning text,Settings > Paragraph Extraction,Warning shown in the confirmation dialog before deleting an extractor.
Open,Button label,Settings > Metadata extraction,Button in a suggestion row of the suggestions table that opens the PDF or property sidepanel to review that suggestion.
Open entity,Link button label,Entity view,Link at the bottom of the entity preview overlay that navigates to the linked entity's full page.
Open group,Screen-reader-only button label,Unresolved,"Hidden accessible label on the expand/collapse toggle button for a table group, in the shared Table component."
Open link,Button label,Entity view,Button that opens an externally linked file in a new browser tab from the file preview pane.
Open PDF,Button label,Settings > Paragraph Extraction,Toolbar button above the paragraphs table that opens the source PDF side panel.
Open the two-factor Authenticator app on your device,Instructional text,Login,"First half of a two-part instruction sentence shown during the 2FA login step, telling the user to check their authenticator app."
Options,Table column header,Settings > Templates,Column header in the properties table for the cell that lists a property's configured settings as pills.
or,Inline connector text,Library,"Joins ""cmd"" and ""shift"" in the Library grid's multi-select hint, also separates upload options in the attachments media modal."
or drag and drop here,Dropzone subtitle,Entity view,"Subtitle under the click-to-select prompt on the add-file dropzone, indicating files can also be dragged in."
or drag and drop PDF files here,Dropzone subtitle,Library,Subtitle under the click-to-select prompt in the Library upload-PDF modal.
or drop your files here.,Helper text,Shared (used across 4 views),"Text following ""Browse files to upload"" in the same dropzone, telling users they can drag and drop files instead of clicking."
Or paste a URL,Section label,Entity view,"Heading over the URL input field in the media picker modal, offering an alternative to uploading a file."
Order,Menu row label,Library,Label for the ascending/descending sub-control inside the toolbar's Display options menu.
other,Dropdown option label,Entity view,"Label for the ""other"" language option used when building or listing file language choices for entity files."
Other,Fallback label,Library / Entity view,Fallback language tag shown next to an entity/document's title (Library cards and entity metadata display) when its file's language doesn't match the current UI locale.
Other users will be affected by this action!,Warning text in confirmation modal,Settings > Languages,Warning line shown in the confirmation dialog before resetting or uninstalling a language.
Outgoing,Direction indicator (icon title/label),Entity page (V2 relationships panel),"Used in two lookup tables: `directionTitles` in `DirectionGlyph.tsx` (rendered via `t('System', directionTitles[direction], null, false)` as an icon `title`/`aria-label`) and `directionLabelKey()` in `relationshipsPanelGrouping.ts` (rendered via `<Translate>` when grouping relationships by direction)."
p.,Page number prefix,Entity view,Abbreviation shown before a page number on the page tag button in a relationship row and in the document search page list.
Page,Label prefix,Entity view,Prefix used before a page number in relationship group headings and in accessible labels for search-result page buttons.
Page published successfully.,Toast notification,Settings > Pages,Success toast shown after confirming Publish in the release modal of the Page Editor.
Pages,Page heading / navigation link,Settings > Pages,"Header above the pages table on the Pages list, and the corresponding link in the Settings sidebar navigation."
Paragrap number extraction property (numeric),Form field label,Settings > Paragraph Extraction,Label for the numeric property dropdown in the extraction configuration step of the create-extractor wizard.
Paragraph,Field label,Settings > Paragraph Extraction,"Label preceding the paragraph number in the paragraph view side panel, in ViewParagraph.tsx."
Paragraph Extraction,Navigation link,Settings,"Admin/editor sidebar link, shown only when the paragraph-extraction feature toggle is on, routing to that settings page."
Paragraph Extractor added,Toast notification,Settings > Paragraph Extraction,Success message shown after saving a new paragraph extractor from the wizard.
Paragraph text extraction property (rich text),Form field label,Settings > Paragraph Extraction,Label for the rich text property dropdown in the extraction configuration step of the create-extractor wizard.
Paragraphs,Table heading,Settings > Paragraph Extraction,"First word of the ""Paragraphs for [template]"" title above the paragraphs table."
Paragraphs deleted,Toast notification,Settings > Paragraph Extraction,Success message shown after confirming deletion of selected paragraphs.
parties,Count label,Entity view,"Label after the member count in a hub relationship row's metadata (e.g. ""3 parties"")."
Password,Field label,Shared (used across 4 views),"Label for a password input, appearing on the Login screen, the Reset Password screen, the Bert AI Assistant password-confirmation gate, and Settings > Users & Groups (user table pill and user edit form)."
Password + 2fa,Pill label,Settings > Users & Groups,Status pill shown in the Protection column for users who have two-factor authentication enabled.
Password changed success,Toast notification,Reset password,Success toast shown after a user successfully sets a new password on the Reset Password page.
Password is too long,Form field validation error,Settings > Users (add/edit user side panel),"Returned as a plain string from `getFieldError('password', type)` in `UserFormSidepanel.tsx`, passed as the `errorMessage` prop through `InputField` to `InputError`, which renders it via `<Translate>{children}</Translate>` — shown when a password exceeds the max length."
Passwords do not match,Validation error message,Settings > Account,Error text shown under the confirm-password field when it doesn't match the new password.
Paste an audio or video URL to use it as this property without uploading a file. Press Enter to apply.,Tooltip text,Entity view,Tooltip explaining the URL field in the media picker modal when picking audio or video.
Paste an image URL to use it as this property without uploading a file. Press Enter to apply.,Tooltip text,Entity view,Tooltip explaining the URL field in the media picker modal when picking an image.
Paste this tag in a page HTML. The chart uses the page language.,Helper text,Settings > Dataviz > Embed panel,"Instructional text under the ""Embed in pages"" snippet explaining how the embedded chart's language behaves."
Paste URL here,Input placeholder,Shared (used across 2 views),"Placeholder text for the URL field when adding a web-hosted file as an attachment or media, in Library and Entity view."
PDF,Radio option / table cell label,Settings > Metadata extraction,"Label for choosing the PDF document itself as the extractor's source, and the fallback text shown in the extractor table's Source column."
People and groups,Section heading,Entity view,Heading over the people/group lookup form in the entity Share modal.
per page,Dropdown option label,Unresolved,"Page-size option text (e.g. ""100 per page"") in a legacy table pagination component that is currently unused anywhere in the live app (only referenced by its own test)."
Permission,Screen-reader label,Settings > Users & Groups,Hidden accessible label on the question-mark icon button that opens the role permissions modal.
Permission level,Group aria-label,Entity view,"Aria-label for the row of ""can see""/""can edit"" icon toggle buttons for a member in the Share modal."
Permission on entities explicitly shared with the user,Tooltip,Settings > Users & Groups,Tooltip explaining the partial-permission icon in the role permissions modal.
Permissions,Filter group label,Library,"Heading of the permissions filter section in the Library filters sidebar, next to its enable/disable switcher."
Permissions updated,Toast notification,Entity view,Success toast shown after saving entity sharing permissions.
Pick a color,Field label,Settings > Templates,"Label for the native color input inside the ColorPicker popover, shared by the same Templates/Theme/Dataviz color-picking contexts."
Pick another,Button label,Copy From dialog in Entity view or Library,Text button next to the Copy action in the Copy From source preview that lets the user go back and choose a different source entity.
Plain text,Menu option label,Entity view,Option label in the document view-mode menu for switching to the raw plain-text rendering of the document.
Please type in,Label (type-to-confirm field),Settings > Languages,"Label preceding the confirmation word (e.g. ""CONFIRM"") the user must type before deleting a language, shown in the shared confirmation modal."
Please type in letters and numbers from the image to start the export.,Modal instructions,Library,Instructional text in the CSV export captcha modal telling the user to enter the captcha code.
Pre-filled from your selection. Edit as needed.,Helper text,Entity view,Note under the title field of the new-entity step explaining that the title was auto-filled from the user's selection.
Preflight scan completed.,Status description,Settings > Import CSV,Description shown on the import status page after the preflight scan completes.
Preparing required relationships.,Status description,Settings > Import CSV,Description shown on the import status page while relationships are prepared.
Preparing required thesauri values.,Status description,Settings > Import CSV,Description shown on the import status page while thesaurus values are prepared.
Preserve,Navigation link,Settings,"Admin sidebar link, shown only when the preserve.host feature toggle is on, routing to the Preserve settings page."
Preserve Extension,Card title / Page heading,Settings > Preserve Extension,"Title text next to the Preserve icon at the top of the setup card, and also used as the page header title above it."
Preserve Setup Description,Instruction list item,Settings > Preserve Extension,"Step 2 of the setup instructions, telling the user to request and copy the Extension Token into the extension's settings."
Press enter to add,Helper text,Library / Entity view,"Hint shown next to a highlighted result in the people/group lookup list of the legacy ""share entity"" modal, telling the user to press Enter to add it."
Preview,Table column header,Settings > Custom Uploads,Header of the Custom Uploads table column showing a file icon/thumbnail preview for each row.
Preview updates automatically (300ms debounce),Helper text,Settings > Dataviz > Data tab,Small note at the bottom of the Data tab telling users the chart preview refreshes automatically after edits.
Preview updates when the JSON is valid.,Helper text,Settings > Data Visualizations,Note under the manual-data JSON editor explaining the live-preview behavior.
Previous,Pagination control label,Shared (used across 5 views),"Generic ""go to previous page/step"" label reused in table pagination, mobile pane swiping, and PDF page navigation, appearing in the Entity view, Library, and Settings (Activity Log, Metadata extraction, Paragraph Extraction)."
Primary,Status badge,Entity view,"Badge marking a file as one of the entity's primary documents, but not the active one."
Primary button,Preview button label,Settings > Theme and branding,Sample primary button shown in the theme editor's live preview to demonstrate the accent color.
Primary documents,Section heading,Entity view,Heading above the list of primary documents in the entity's files drawer.
Primary Documents,Section heading,Shared (used across 2 views),"Heading above the list of an entity's primary document files, shown in Library and Entity view metadata panels/forms."
Priority sorting,Checkbox label,Settings > Templates,Checkbox label for marking a property as priority sorting criteria; also shown as a summary pill in the properties table.
Private,Segmented control option label,Entity view,"Label and aria-label for the ""Private"" option in the General access control of the Share modal."
Private entities description,Warning message,Library / Entity view,"Caution text shown in the legacy ""share entity"" modal warning that the selected entities will become private to only allowed users."
Process,Button label,Settings > Metadata extraction,Submit button at the bottom of the Process extractor modal that starts finding or auto-accepting suggestions.
Process extractor,Button label / modal title,Settings > Metadata extraction,"Footer button and modal title shown when no rows are selected, for processing the whole extractor."
Process selected,Button label / modal title,Settings > Metadata extraction,"Footer button and modal title shown when rows are selected, for processing only the selected suggestions."
Processed,Section label,Settings > Metadata extraction,"Section heading in the Stats & Filters sidepanel grouping the Match, Mismatch, and No context checkboxes for already-processed suggestions."
Processed rows,Progress caption label,Settings > Import CSV,Label preceding the completion percentage shown under the progress bar on the import status page.
Processing,Status indicator,Shared (used across 5 views),"Generic status label shown while a file or task is being processed, e.g. document conversion, CSV import, or paragraph extraction."
Progress,Table column header,Settings > Import CSV,"Header for the progress column in the imports table, and the heading above the progress bar on the import status page."
Properties,Section label,Entity view,Heading above the metadata snippets group within a single search result entry in the entity search tab.
Properties from other templates in the collection using the same label.,Section heading,Settings > Templates,"Heading above the matching-properties table in the property panel, introducing same-label properties found on other templates."
"Properties marked as priority sorting will be used as default sorting criteria. If more than one property is marked as priority sorting the system will try to pick-up the best fit. When listing mixed template types, the system will pick-up the best combined priority sorting.",Tooltip text,Settings > Templates,"Tooltip on the help icon next to the ""Priority sorting"" checkbox in the property editor panel."
Property,Table column header,Settings > Import CSV,Header for the column in the failure-details table showing which template property caused the error.
property date,Table cell / dropdown label — property type name (with icon),Settings > Templates (template editor),"Rendered via `translationsKeys[type]` lookup in `app/react/V2/Routes/Settings/Templates/helpers.ts` fed into `<Translate context=""System"">{...}</Translate>` in the properties table (`TemplateEditorTableComponents.tsx`), the property config panel, and the matching-properties table — not a literal. Also reachable via the dynamic `` `property ${type}` `` template literal in `ExtractorModal.tsx` (Settings > Metadata Extraction) when listing extractable date properties."
property daterange,Filter field label,Settings > Activity Log,"Label for the date range picker used to filter activity log entries by date, in the Filters side panel."
property generatedid,Table cell — property type name (with icon),Settings > Templates (template editor),"Rendered via the `translationsKeys.generatedid` entry in `helpers.ts`, looked up dynamically and passed as a variable into `<Translate context=""System"">{...}</Translate>` in the template properties table; shown next to the icon for a ""Generated ID"" property."
property geolocation,Table cell — property type name (with icon),Settings > Templates (template editor),"Same lookup-table pattern as above (`translationsKeys.geolocation` in `helpers.ts`), rendered dynamically in the template properties table when a property's type is ""geolocation""."
property image,Table cell — property type name (with icon),Settings > Templates (template editor),"Same lookup-table pattern (`translationsKeys.image`), rendered dynamically in the template properties table for image-type properties."
property link,Table cell — property type name (with icon),Settings > Templates (template editor),"Same lookup-table pattern (`translationsKeys.link`), rendered dynamically in the template properties table for link-type properties."
property markdown,Empty-state list item,Settings > Paragraph Extraction,"Requirement label (""Rich text"") listed under the no-qualified-target-template empty state, preceded by a count of 1."
property media,Table cell — property type name (with icon),Settings > Templates (template editor),"Same lookup-table pattern (`translationsKeys.media`), rendered dynamically in the template properties table for media-type properties."
property multidate,Table cell — property type name (with icon),Settings > Templates (template editor),"Same lookup-table pattern (`translationsKeys.multidate`), rendered dynamically in the template properties table for multi-date properties."
property multidaterange,Table cell — property type name (with icon),Settings > Templates (template editor),"Same lookup-table pattern (`translationsKeys.multidaterange`), rendered dynamically in the template properties table for multi-date-range properties."
property multiselect,Table cell / extractor property list — property type name (with icon),Shared (used across 3 views),"Rendered via `translationsKeys.multiselect` lookup in the template properties table, the property config panel, and the matching-properties table (all in Settings > Templates); also rendered via the dynamic `` `property ${type}` `` template literal in `ExtractorModal.tsx` (Settings > Metadata Extraction) since ""multiselect"" is a supported extraction property type."
property numeric,Empty-state list item,Settings > Paragraph Extraction,"Requirement label (""Numeric"") listed under the no-qualified-target-template empty state, preceded by a count of 1."
property preview,Table cell — property type name (with icon),Settings > Templates (template editor),"Same lookup-table pattern (`translationsKeys.preview`), rendered dynamically in the template properties table for preview-type properties."
property relationship,Table cell / extractor property list — property type name (with icon),Shared (used across 3 views),"Rendered via `translationsKeys.relationship` lookup across the template properties table, config panel, and matching-properties table (Settings > Templates); also via the `` `property ${type}` `` template literal in `ExtractorModal.tsx` (Settings > Metadata Extraction) since relationship is a supported extraction property type."
property select,Table cell / extractor property list — property type name (with icon),Shared (used across 3 views),"Rendered via `translationsKeys.select` lookup across the template properties table, config panel, and matching-properties table (Settings > Templates); also via the `` `property ${type}` `` template literal in `ExtractorModal.tsx` (Settings > Metadata Extraction)."
property text,Table cell / extractor property list — property type name (with icon),Shared (used across 3 views),"Rendered via `translationsKeys.text` lookup across the template properties table, config panel, and matching-properties table (Settings > Templates); also via the `` `property ${type}` `` template literal in `ExtractorModal.tsx` (Settings > Metadata Extraction, e.g. for the ""Title"" pseudo-property)."
Property type,Dropdown label,Settings > Templates,Label above the property type select dropdown in the property editor panel.
Protection,Table column header,Settings > Users & Groups,Column header for the password/2FA status column in the users table.
ProTip!,Bold heading in a hint box,Library,"Introduces the ""cmd/shift + click"" tip shown below the Library document grid."
"Provide chart-ready data as JSON. Each series needs id, label, and a points array with
              label and value per row. Optional key on points helps stable colors.",Helper text,Settings > Data Visualizations,Instructions above the JSON editor in the Manual data section of the Dataviz editor.
Public entities description,Caution tooltip,Entity view,Caution tooltip in the share modal's General access control warning that switching to Published makes the entity public.
Public form settings description,Tooltip,Settings > Collection,Tooltip on the public form settings section explaining destination and whitelisted templates.
Public Form submit URL,Input field label,Settings > Collection,Label with tooltip for the field entering the destination URL for public form submissions.
Public form URL description,Tooltip,Settings > Collection,Tooltip on the public form destination URL field.
Public form whitelist description,Tooltip,Settings > Collection,Tooltip on the public form template whitelist field.
Public instance,Toggle label,Settings > Collection,Label for the toggle controlling whether the collection is publicly accessible.
Publish,Button label,Settings > Pages,"Button in the Configuration tab that opens the release modal, and the confirm button inside that modal."
Publish release,Modal heading,Settings > Pages,"Heading of the modal opened from the Publish button in the Page Editor, used to confirm and release a new page version."
Published,Filter option label,Library,"Label (with a globe icon) for the ""published"" status option in Library's status filter, also used as a facet row label."
Published and unpublished entities are counted.,Radio option helper text,Settings > Data Visualizations,"Description under the ""Include all entities"" option in the Entity scope section."
QR Code,Card heading,Settings > Account,Title of the card in the 2FA sidepanel that displays the QR code to scan.
Query,Field label,Settings > Activity Log,"Labels the request query value, shown both in the entry detail side panel and inside the description column's hover tooltip."
Queued,Status label,Settings > Import CSV,"Status text shown for a CSV import waiting to start, in the imports table and on the import status page."
RAW,Status pill / action label,Settings > Activity Log,"Rendered via `<Translate>{action}</Translate>` where `action` is the log entry's `semantic.action`, in `ActionPill` (`app/react/V2/Routes/Settings/ActivityLog/components/TableElements.tsx`) and reused in `ActivityLogSidePanel.tsx`; shown as the colored pill (and branch condition) for log entries the parser could not classify into a semantic action."
"Re-runs the query against your current collection. Use this after importing
                        or editing entities—not when changing chart settings (save handles that).",Help text under a radio option,Dataviz editor (Refresh tab),"Literal multi-line JSX text inside `<Translate>` in `app/react/V2/Dataviz/editor/components/tabs/RefreshTab.tsx`; shown under the ""Snapshot (manual)"" refresh-mode option explaining what the ""Update from collection"" button does. Missed by the scanner due to the wrapped multi-line literal."
Re-uploaded document,Activity log description,Settings > Activity Log,Value of the `desc` field for `POST/api/reupload` in the `ParsedActions` lookup table in `app/api/activitylog/activitylogParser.ts`; consumed as `semantic.description` and rendered via `<Translate>{semanticData.description}</Translate>` in `TableElements.tsx`'s `DescriptionCell` — not a literal.
Ready,Status label,Entity view,Text shown next to the progress bar once a file upload finishes.
Receiving email description,Tooltip,Settings > Collection,Tooltip on the receiving email field explaining it is where contact form submissions arrive.
Recommended,Field hint text,Settings > Collection,Prefix text before the recommended image size shown under an image picker's label.
references,Stats row label,Entity view,"Unit label in the relationships panel's summary row (e.g. ""4 references""), next to relationships and entities counts."
References,Tab label/tooltip,Shared (used across 2 views),"Label and tooltip for the References tab in a document's side panel, shown in Library and Entity view."
Refresh,Table column header,Settings > Data visualizations,Header label for the refresh-mode column in the data visualizations table.
